stable_id,parent_stable_id,title,subject,stage,region,year_range,exam_scope,source_material_ids,evidence_locations,common_question_types,knowledge_stable_ids,ability_dimensions,difficulty_band,frequency_weight,trend_status,review_status,production_eligible,notes
EPHY-C003-028,,磁场对通电导线作用和电动机原理判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,choice,KPHY-C003-047,科学推理;模型建构,medium,0.00,stable,pending_review,false,candidate full exam point
EPHY-C003-029,,电磁感应条件和发电机原理判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-014;SRC-C003-017,2019Q06;2020Q22,choice;experiment,KPHY-C003-048,科学推理;实验探究,medium,0.02,stable,pending_review,false,candidate full exam point
EPHY-C003-030,,电磁波频率波长和通信应用判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-031,2025Q08,choice,KPHY-C003-049,信息提取;科学推理,medium,0.02,rising,pending_review,false,candidate full exam point
EPHY-C003-031,,电路图识别串并联和开关控制设计,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-008;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-028;SRC-C003-031,2016Q05;2017Q23;2019Q12;2020Q23;2021Q09;2022Q09;2023Q15;2023Q16;2024Q15;2025Q06;2025Q17,choice;drawing,KPHY-C003-065,模型建构;科学推理,medium,0.19,stable,pending_review,false,candidate full exam point
EPHY-C003-032,,电流表电压表使用和读数,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-028,2016Q21;2016Q22;2024Q09,fill;experiment,KPHY-C003-081;KPHY-C003-064,实验探究;规范表达,easy-to-medium,0.04,stable,pending_review,false,candidate full exam point
EPHY-C003-033,,串并联电路电流电压规律应用,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,choice;experiment,KPHY-C003-065,科学推理;数学运算,medium,0.00,stable,pending_review,false,candidate full exam point
EPHY-C003-034,,欧姆定律电阻测量和图表数据处理,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,experiment;calculation,KPHY-C003-066;KPHY-C003-084,实验探究;数学运算;信息提取,medium-to-hard,0.00,stable,pending_review,false,candidate full exam point
EPHY-C003-035,,电路故障排查和假设验证,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-028,2024Q08,experiment;comprehensive,KPHY-C003-065;KPHY-C003-066,实验探究;科学推理,medium-to-hard,0.02,rising,pending_review,false,candidate full exam point
EPHY-C003-036,,电功电功率额定实际功率综合计算,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,calculation;comprehensive,KPHY-C003-067,数学运算;信息提取,medium-to-hard,0.00,stable,pending_review,false,candidate full exam point
EPHY-C003-037,,焦耳定律电热和加热效率计算,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,calculation;experiment,KPHY-C003-068;KPHY-C003-067,数学运算;科学推理,medium-to-hard,0.00,stable,pending_review,false,candidate full exam point
EPHY-C003-038,,家庭电路安全用电和节约用电判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,choice;comprehensive,KPHY-C003-069,科学推理;跨学科应用,medium,0.00,stable,pending_review,false,candidate full exam point
EPHY-C003-039,,能源分类新能源和可持续发展判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-017;SRC-C003-019;SRC-C003-031,2020Q17;2021Q01;2025Q11,choice;comprehensive,KPHY-C003-071;KPHY-C003-072;KPHY-C003-073,信息提取;跨学科应用,easy-to-medium,0.05,rising,pending_review,false,candidate full exam point
EPHY-C003-040,,从图表图像非连续文本提取物理信息,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-008;SRC-C003-011;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-028;SRC-C003-031,2016Q19;2016Q20;2016Q23;2017Q01;2017Q02;2017Q03;2017Q04;2017Q10;2017Q14;2017Q16;2017Q18;2017Q20;2017Q21;2017Q22;2018Q01;2018Q02;2018Q03;2018Q04;2018Q05;2018Q09;2018Q16;2018Q19;2018Q22;2018Q24;2019Q01;2019Q02;2019Q03;2019Q04;2019Q10;2019Q13;2019Q22;2019Q23;2019Q24;2020Q01;2020Q02;2020Q03;2020Q04;2020Q08;2020Q10;2020Q12,choice;experiment;comprehensive,KPHY-C003-084,信息提取,medium,1.00,rising,pending_review,false,candidate full exam point
EPHY-C003-041,,测量类实验操作读数和数据记录,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-014,2019Q16,fill;experiment,KPHY-C003-081,实验探究;规范表达,medium,0.01,stable,pending_review,false,candidate full exam point
EPHY-C003-042,,控制变量法设计实验和结论表达,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,experiment,KPHY-C003-083,实验探究;规范表达,medium-to-hard,0.00,stable,pending_review,false,candidate full exam point
EPHY-C003-043,,实验误差评估方案改进和异常数据判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,experiment,KPHY-C003-084,实验探究;批判质疑,hard,0.00,rising,pending_review,false,candidate full exam point
EPHY-C003-044,,教材实验插图和习题素材迁移,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-028,2024Q17,choice;experiment;comprehensive,KPHY-C003-044;KPHY-C003-045;KPHY-C003-046;KPHY-C003-064;KPHY-C003-065,迁移应用;信息提取,medium,0.02,rising,pending_review,false,candidate full exam point; exam point knowledge refs repaired from source exam PDF
EPHY-C003-045,,真实生活生产情境解决物理问题,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,choice;comprehensive,KPHY-C003-100;KPHY-C003-101,迁移应用;科学推理,medium,0.00,rising,pending_review,false,candidate full exam point
EPHY-C003-046,,工程实践装置模型建构和跨学科分析,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-031,2025Q14,comprehensive;experiment,KPHY-C003-031;KPHY-C003-100;KPHY-C003-102,模型建构;跨学科应用;科学推理,medium-to-hard,0.02,rising,pending_review,false,candidate full exam point; exam point knowledge refs repaired from source exam PDF
EPHY-C003-047,,物理与社会发展能源科技素材分析,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,choice;comprehensive,KPHY-C003-100;KPHY-C003-103,跨学科应用;信息提取,medium,0.00,rising,pending_review,false,candidate full exam point
