issue_id,entity_type,entity_id,issue_type,issue_summary,severity,recommended_action,review_status,production_eligible
QI-C003-0028,year_report_observation,YRO-C003-2017-04,year_report_discrimination_review_required,已自动定位年报p53并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0029,year_report_observation,YRO-C003-2017-05,year_report_metric_review_required,已自动定位年报p5，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0030,year_report_observation,YRO-C003-2017-06,year_report_metric_review_required,已自动定位年报p6，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0031,year_report_observation,YRO-C003-2017-07,year_report_metric_review_required,已自动定位年报p7，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0032,year_report_observation,YRO-C003-2017-08,year_report_metric_review_required,已自动定位年报p9，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0033,year_report_observation,YRO-C003-2017-09,year_report_metric_review_required,已自动定位年报p10，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0034,year_report_observation,YRO-C003-2017-10,year_report_metric_review_required,已自动定位年报p11，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0035,year_report_observation,YRO-C003-2017-11,year_report_page_unverified,年报逐题页码仍未自动定位,medium,人工定位年报逐题页码并核验难度区分度,pending_review,false
QI-C003-0036,year_report_observation,YRO-C003-2017-12,year_report_metric_review_required,已自动定位年报p15，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0037,year_report_observation,YRO-C003-2017-13,year_report_discrimination_review_required,已自动定位年报p17并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0038,year_report_observation,YRO-C003-2017-14,year_report_discrimination_review_required,已自动定位年报p20并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0039,year_report_observation,YRO-C003-2017-15,year_report_human_confirmation_required,已自动定位年报p24并提取难度/区分度，仍需人工确认,low,抽样核对原年报页码、难度、区分度和教学建议后关闭,pending_review,false
QI-C003-0040,year_report_observation,YRO-C003-2017-16,year_report_metric_review_required,已自动定位年报p6，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0041,year_report_observation,YRO-C003-2017-17,year_report_metric_review_required,已自动定位年报p28，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0042,year_report_observation,YRO-C003-2017-18,year_report_metric_review_required,已自动定位年报p30，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0043,year_report_observation,YRO-C003-2017-19,year_report_human_confirmation_required,已自动定位年报p31并提取难度/区分度，仍需人工确认,low,抽样核对原年报页码、难度、区分度和教学建议后关闭,pending_review,false
QI-C003-0044,year_report_observation,YRO-C003-2017-20,year_report_human_confirmation_required,已自动定位年报p32并提取难度/区分度，仍需人工确认,low,抽样核对原年报页码、难度、区分度和教学建议后关闭,pending_review,false
QI-C003-0045,year_report_observation,YRO-C003-2017-21,year_report_metric_review_required,已自动定位年报p6，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0046,year_report_observation,YRO-C003-2017-22,year_report_discrimination_review_required,已自动定位年报p40并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0047,year_report_observation,YRO-C003-2017-23,year_report_metric_review_required,已自动定位年报p43，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0048,year_report_observation,YRO-C003-2017-24,year_report_metric_review_required,已自动定位年报p46，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0049,year_report_observation,YRO-C003-2018-01,year_report_metric_review_required,已自动定位年报p9，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0050,year_report_observation,YRO-C003-2018-02,year_report_metric_review_required,已自动定位年报p11，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0051,year_report_observation,YRO-C003-2018-03,year_report_metric_review_required,已自动定位年报p12，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0052,year_report_observation,YRO-C003-2018-04,year_report_metric_review_required,已自动定位年报p12，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0053,year_report_observation,YRO-C003-2018-05,year_report_metric_review_required,已自动定位年报p17，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0054,year_report_observation,YRO-C003-2018-06,year_report_metric_review_required,已自动定位年报p20，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0055,year_report_observation,YRO-C003-2018-07,year_report_metric_review_required,已自动定位年报p21，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0056,year_report_observation,YRO-C003-2018-08,year_report_metric_review_required,已自动定位年报p25，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0057,year_report_observation,YRO-C003-2018-09,year_report_metric_review_required,已自动定位年报p26，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0058,year_report_observation,YRO-C003-2018-10,year_report_metric_review_required,已自动定位年报p3，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0059,year_report_observation,YRO-C003-2018-11,year_report_metric_review_required,已自动定位年报p30，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0060,year_report_observation,YRO-C003-2018-12,year_report_metric_review_required,已自动定位年报p32，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0061,year_report_observation,YRO-C003-2018-13,year_report_discrimination_review_required,已自动定位年报p34并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0062,year_report_observation,YRO-C003-2018-14,year_report_discrimination_review_required,已自动定位年报p36并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0063,year_report_observation,YRO-C003-2018-15,year_report_discrimination_review_required,已自动定位年报p39并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0064,year_report_observation,YRO-C003-2018-16,year_report_discrimination_review_required,已自动定位年报p42并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0065,year_report_observation,YRO-C003-2018-17,year_report_discrimination_review_required,已自动定位年报p46并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0066,year_report_observation,YRO-C003-2018-18,year_report_discrimination_review_required,已自动定位年报p50并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0067,year_report_observation,YRO-C003-2018-19,year_report_metric_review_required,已自动定位年报p5，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0068,year_report_observation,YRO-C003-2018-20,year_report_discrimination_review_required,已自动定位年报p60并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0069,year_report_observation,YRO-C003-2018-21,year_report_discrimination_review_required,已自动定位年报p64并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0070,year_report_observation,YRO-C003-2018-22,year_report_metric_review_required,已自动定位年报p72，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0071,year_report_observation,YRO-C003-2018-23,year_report_discrimination_review_required,已自动定位年报p77并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0072,year_report_observation,YRO-C003-2018-24,year_report_discrimination_review_required,已自动定位年报p84并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0073,year_report_observation,YRO-C003-2019-01,year_report_metric_review_required,已自动定位年报p10，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0074,year_report_observation,YRO-C003-2019-02,year_report_metric_review_required,已自动定位年报p10，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0075,year_report_observation,YRO-C003-2019-03,year_report_metric_review_required,已自动定位年报p13，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0076,year_report_observation,YRO-C003-2019-04,year_report_metric_review_required,已自动定位年报p18，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0077,year_report_observation,YRO-C003-2019-05,year_report_metric_review_required,已自动定位年报p21，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0078,year_report_observation,YRO-C003-2019-06,year_report_metric_review_required,已自动定位年报p23，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0079,year_report_observation,YRO-C003-2019-07,year_report_metric_review_required,已自动定位年报p25，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0080,year_report_observation,YRO-C003-2019-08,year_report_metric_review_required,已自动定位年报p2，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0081,year_report_observation,YRO-C003-2019-09,year_report_metric_review_required,已自动定位年报p30，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0082,year_report_observation,YRO-C003-2019-10,year_report_metric_review_required,已自动定位年报p34，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0083,year_report_observation,YRO-C003-2019-11,year_report_metric_review_required,已自动定位年报p36，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0084,year_report_observation,YRO-C003-2019-12,year_report_metric_review_required,已自动定位年报p3，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0085,year_report_observation,YRO-C003-2019-13,year_report_metric_review_required,已自动定位年报p42，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0086,year_report_observation,YRO-C003-2019-14,year_report_metric_review_required,已自动定位年报p48，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0087,year_report_observation,YRO-C003-2019-15,year_report_metric_review_required,已自动定位年报p4，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0088,year_report_observation,YRO-C003-2019-16,year_report_metric_review_required,已自动定位年报p59，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0089,year_report_observation,YRO-C003-2019-17,year_report_metric_review_required,已自动定位年报p65，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0090,year_report_observation,YRO-C003-2019-18,year_report_metric_review_required,已自动定位年报p70，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0091,year_report_observation,YRO-C003-2019-19,year_report_metric_review_required,已自动定位年报p5，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0092,year_report_observation,YRO-C003-2019-20,year_report_metric_review_required,已自动定位年报p6，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0093,year_report_observation,YRO-C003-2019-21,year_report_metric_review_required,已自动定位年报p6，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0094,year_report_observation,YRO-C003-2019-22,year_report_metric_review_required,已自动定位年报p89，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0095,year_report_observation,YRO-C003-2019-23,year_report_metric_review_required,已自动定位年报p93，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0096,year_report_observation,YRO-C003-2019-24,year_report_metric_review_required,已自动定位年报p7，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0097,year_report_observation,YRO-C003-2020-01,year_report_metric_review_required,已自动定位年报p11，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0098,year_report_observation,YRO-C003-2020-02,year_report_metric_review_required,已自动定位年报p12，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0099,year_report_observation,YRO-C003-2020-03,year_report_metric_review_required,已自动定位年报p13，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0100,year_report_observation,YRO-C003-2020-04,year_report_metric_review_required,已自动定位年报p1，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0101,year_report_observation,YRO-C003-2020-05,year_report_metric_review_required,已自动定位年报p17，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0102,year_report_observation,YRO-C003-2020-06,year_report_metric_review_required,已自动定位年报p18，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0103,year_report_observation,YRO-C003-2020-07,year_report_metric_review_required,已自动定位年报p19，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0104,year_report_observation,YRO-C003-2020-08,year_report_metric_review_required,已自动定位年报p2，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0105,year_report_observation,YRO-C003-2020-09,year_report_metric_review_required,已自动定位年报p24，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0106,year_report_observation,YRO-C003-2020-10,year_report_metric_review_required,已自动定位年报p25，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0107,year_report_observation,YRO-C003-2020-11,year_report_metric_review_required,已自动定位年报p27，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0108,year_report_observation,YRO-C003-2020-12,year_report_metric_review_required,已自动定位年报p31，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0109,year_report_observation,YRO-C003-2020-13,year_report_metric_review_required,已自动定位年报p34，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0110,year_report_observation,YRO-C003-2020-14,year_report_metric_review_required,已自动定位年报p5，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0111,year_report_observation,YRO-C003-2020-15,year_report_metric_review_required,已自动定位年报p44，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0112,year_report_observation,YRO-C003-2020-16,year_report_metric_review_required,已自动定位年报p46，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0113,year_report_observation,YRO-C003-2020-17,year_report_metric_review_required,已自动定位年报p49，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0114,year_report_observation,YRO-C003-2020-18,year_report_metric_review_required,已自动定位年报p53，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0115,year_report_observation,YRO-C003-2020-19,year_report_metric_review_required,已自动定位年报p59，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0116,year_report_observation,YRO-C003-2020-20,year_report_metric_review_required,已自动定位年报p6，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0117,year_report_observation,YRO-C003-2020-21,year_report_metric_review_required,已自动定位年报p70，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0118,year_report_observation,YRO-C003-2020-22,year_report_metric_review_required,已自动定位年报p74，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0119,year_report_observation,YRO-C003-2020-23,year_report_metric_review_required,已自动定位年报p7，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0120,year_report_observation,YRO-C003-2020-24,year_report_metric_review_required,已自动定位年报p80，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0121,year_report_observation,YRO-C003-2021-01,year_report_discrimination_review_required,已自动定位年报p3并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0122,year_report_observation,YRO-C003-2021-02,year_report_discrimination_review_required,已自动定位年报p5并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0123,year_report_observation,YRO-C003-2021-03,year_report_discrimination_review_required,已自动定位年报p7并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0124,year_report_observation,YRO-C003-2021-04,year_report_metric_review_required,已自动定位年报p8，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0125,year_report_observation,YRO-C003-2021-05,year_report_discrimination_review_required,已自动定位年报p9并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0126,year_report_observation,YRO-C003-2021-06,year_report_discrimination_review_required,已自动定位年报p10并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0127,year_report_observation,YRO-C003-2021-07,year_report_discrimination_review_required,已自动定位年报p11并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0128,year_report_observation,YRO-C003-2021-08,year_report_discrimination_review_required,已自动定位年报p12并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0129,year_report_observation,YRO-C003-2021-09,year_report_metric_review_required,已自动定位年报p13，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0130,year_report_observation,YRO-C003-2021-10,year_report_discrimination_review_required,已自动定位年报p15并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0131,year_report_observation,YRO-C003-2021-11,year_report_metric_review_required,已自动定位年报p1，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0132,year_report_observation,YRO-C003-2021-12,year_report_metric_review_required,已自动定位年报p24，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0133,year_report_observation,YRO-C003-2021-13,year_report_metric_review_required,已自动定位年报p28，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0134,year_report_observation,YRO-C003-2021-14,year_report_discrimination_review_required,已自动定位年报p30并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0135,year_report_observation,YRO-C003-2021-15,year_report_discrimination_review_required,已自动定位年报p31并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0136,year_report_observation,YRO-C003-2021-16,year_report_metric_review_required,已自动定位年报p34，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0137,year_report_observation,YRO-C003-2021-17,year_report_metric_review_required,已自动定位年报p40，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0138,year_report_observation,YRO-C003-2021-18,year_report_metric_review_required,已自动定位年报p42，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0139,year_report_observation,YRO-C003-2022-01,year_report_discrimination_review_required,已自动定位年报p10并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0140,year_report_observation,YRO-C003-2022-02,year_report_discrimination_review_required,已自动定位年报p10并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0141,year_report_observation,YRO-C003-2022-03,year_report_discrimination_review_required,已自动定位年报p11并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
