stable_id,parent_stable_id,level,title,node_type,subject,stage,grade_or_scope,source_material_ids,evidence_locations,curriculum_refs,local_exam_refs,draft_mapping_code,mapping_type,mapping_confidence,review_status,review_owner,production_eligible,notes
KPHY-C003-011,KPHY-C003-009,3,磁性与磁化,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-2-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-012,KPHY-C003-009,3,导电性与材料分类,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-2-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-013,KPHY-C003-009,3,导热性,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-2-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-014,KPHY-C003-009,3,质量及测量,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-2-2;CS-C003-4-1-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-015,KPHY-C003-009,3,密度及测量,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-2-3;CS-C003-4-1-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-016,KPHY-C003-001,2,物质的结构和尺度,topic,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-3,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-017,KPHY-C003-016,3,分子原子构成物质,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-3-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-018,KPHY-C003-016,3,原子核式结构模型,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-3-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-019,KPHY-C003-016,3,宏观微观宇宙尺度,concept,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-3-4,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-020,,1,运动和相互作用,module,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-021,KPHY-C003-020,2,多种多样的运动形式,topic,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-1,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-022,KPHY-C003-021,3,机械运动和运动相对性,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-1-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-023,KPHY-C003-021,3,分子热运动,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-1-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-024,KPHY-C003-020,2,机械运动和力,topic,physics,junior_middle_school,8上;8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-025,KPHY-C003-024,3,长度时间测量与估测,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2-1;CS-C003-4-1-4,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-026,KPHY-C003-024,3,速度与平均速度计算,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2-2;CS-C003-4-1-5,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-027,KPHY-C003-024,3,重力弹力摩擦力,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2-3;CS-C003-4-1-6,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-028,KPHY-C003-024,3,力的作用效果和相互作用,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-029,KPHY-C003-024,3,力的示意图二力平衡和合成,method,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2-4,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-030,KPHY-C003-024,3,牛顿第一定律与惯性,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2-5,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-031,KPHY-C003-024,3,杠杆与简单机械,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2-6;CS-C003-4-2-5,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-032,KPHY-C003-024,3,压强及增减压强方法,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2-7,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-033,KPHY-C003-024,3,液体压强大气压强流体压强,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2-8;CS-C003-4-2-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-034,KPHY-C003-024,3,浮力阿基米德原理浮沉条件,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-2-9;CS-C003-4-2-4,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-035,KPHY-C003-020,2,声和光,topic,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-3,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-036,KPHY-C003-035,3,声音的产生和传播,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-3-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-037,KPHY-C003-035,3,声音特性和噪声控制,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-3-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-038,KPHY-C003-035,3,光的直线传播反射和折射,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-3-3;CS-C003-4-2-6,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-039,KPHY-C003-035,3,平面镜成像,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-3-4;CS-C003-4-2-7,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-040,KPHY-C003-035,3,透镜与凸透镜成像规律,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-3-5;CS-C003-4-2-8,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-041,KPHY-C003-035,3,光的色散与色光混合,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-3-6,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-042,KPHY-C003-020,2,电和磁,topic,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-4,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-043,KPHY-C003-042,3,静电现象和电荷相互作用,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-4-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-044,KPHY-C003-042,3,磁场和地磁场,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-4-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-045,KPHY-C003-042,3,电流磁场和通电螺线管,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-4-3;CS-C003-4-2-9,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-046,KPHY-C003-042,3,电磁铁和电磁继电器,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-4-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-047,KPHY-C003-042,3,磁场对通电导线作用和电动机,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-4-4,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-048,KPHY-C003-042,3,电磁感应和发电机,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-4-5;CS-C003-4-2-10,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-049,KPHY-C003-042,3,电磁波和通信,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-2-4-6,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-050,,1,能量,module,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-051,KPHY-C003-050,2,能量转化转移和功,topic,physics,junior_middle_school,8下;9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-1,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-052,KPHY-C003-051,3,能量形式和能量转化转移,concept,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-1-1;CS-C003-3-1-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-053,KPHY-C003-051,3,功的概念和做功条件,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-1-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-054,KPHY-C003-050,2,机械能,topic,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-2,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-055,KPHY-C003-054,3,动能势能机械能及转化,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-2-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-056,KPHY-C003-054,3,功率,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-2-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-057,KPHY-C003-054,3,机械效率,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-2-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-058,KPHY-C003-050,2,内能,topic,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-3,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-059,KPHY-C003-058,3,内能热量热传递和做功,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-3-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-060,KPHY-C003-058,3,比热容和热量计算,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-3-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-061,KPHY-C003-058,3,燃料热值热机和热机效率,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-3-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-062,KPHY-C003-050,2,电磁能,topic,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-4,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-063,KPHY-C003-062,3,电源用电器与能量转化,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-4-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-064,KPHY-C003-062,3,电压电流电阻,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-4-2;CS-C003-3-4-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-065,KPHY-C003-062,3,串联并联电路和电路图,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-4-4;CS-C003-4-2-11,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-066,KPHY-C003-062,3,欧姆定律及应用,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-4-2;CS-C003-4-2-12,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-067,KPHY-C003-062,3,电功和电功率,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-4-5,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-068,KPHY-C003-062,3,焦耳定律和电热,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-4-6,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-069,KPHY-C003-062,3,家庭电路和安全用电,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-4-7,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-070,KPHY-C003-050,2,能量守恒效率和方向性,topic,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-5,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-071,KPHY-C003-050,2,能源与可持续发展,topic,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-6,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-072,KPHY-C003-071,3,能源分类和可再生能源,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-6-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-073,KPHY-C003-071,3,核能和新能源,concept,physics,junior_middle_school,9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-3-6-2;CS-C003-3-6-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-080,,1,实验探究,module,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-4,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-081,KPHY-C003-080,2,测量类学生必做实验,experiment,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-4-1,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-082,KPHY-C003-080,2,探究类学生必做实验,experiment,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-4-2,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-083,KPHY-C003-082,3,控制变量法,method,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-4-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-084,KPHY-C003-082,3,数据表格图像处理与实验评估,method,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-4-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-100,,1,跨学科实践,module,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-5,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-101,KPHY-C003-100,2,物理学与日常生活,topic,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-5-1,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-102,KPHY-C003-100,2,物理学与工程实践,topic,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-5-2,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-103,KPHY-C003-100,2,物理学与社会发展,topic,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-5-3,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
