mapping_id,source_asset_type,source_stable_id,target_asset_type,target_stable_id,mapping_type,confidence,source_material_ids,evidence_locations,impact_scope,review_status,auto_apply_allowed,rollback_required,notes
MAP-C003-00020,curriculum_standard_item,CS-C003-2-1-1,knowledge_point,KPHY-C003-022,related,0.86,SRC-C003-001,课标p17-p18,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00021,curriculum_standard_item,CS-C003-2-1-2,knowledge_point,KPHY-C003-023,related,0.86,SRC-C003-001,课标p17-p18,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00022,curriculum_standard_item,CS-C003-2-2,knowledge_point,KPHY-C003-024,related,0.86,SRC-C003-001,课标p18-p20,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00023,curriculum_standard_item,CS-C003-2-2-1,knowledge_point,KPHY-C003-025,related,0.86,SRC-C003-001,课标p18,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00024,curriculum_standard_item,CS-C003-2-2-2,knowledge_point,KPHY-C003-026,related,0.86,SRC-C003-001,课标p18,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00025,curriculum_standard_item,CS-C003-2-2-3,knowledge_point,KPHY-C003-027,related,0.86,SRC-C003-001,课标p18,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00026,curriculum_standard_item,CS-C003-2-2-3,knowledge_point,KPHY-C003-028,related,0.86,SRC-C003-001,课标p18,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00027,curriculum_standard_item,CS-C003-2-2-4,knowledge_point,KPHY-C003-029,related,0.86,SRC-C003-001,课标p18,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00028,curriculum_standard_item,CS-C003-2-2-5,knowledge_point,KPHY-C003-030,related,0.86,SRC-C003-001,课标p18-p19,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00029,curriculum_standard_item,CS-C003-2-2-6,knowledge_point,KPHY-C003-031,related,0.86,SRC-C003-001,课标p19,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00030,curriculum_standard_item,CS-C003-2-2-7,knowledge_point,KPHY-C003-032,related,0.86,SRC-C003-001,课标p19,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00031,curriculum_standard_item,CS-C003-2-2-8,knowledge_point,KPHY-C003-033,related,0.86,SRC-C003-001,课标p19,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00032,curriculum_standard_item,CS-C003-2-2-9,knowledge_point,KPHY-C003-034,related,0.86,SRC-C003-001,课标p19-p20,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00033,curriculum_standard_item,CS-C003-2-3,knowledge_point,KPHY-C003-035,related,0.86,SRC-C003-001,课标p20-p21,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00034,curriculum_standard_item,CS-C003-2-3-1,knowledge_point,KPHY-C003-036,related,0.86,SRC-C003-001,课标p20,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00035,curriculum_standard_item,CS-C003-2-3-2,knowledge_point,KPHY-C003-037,related,0.86,SRC-C003-001,课标p20,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00036,curriculum_standard_item,CS-C003-2-3-3,knowledge_point,KPHY-C003-038,related,0.86,SRC-C003-001,课标p20,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00037,curriculum_standard_item,CS-C003-2-3-4,knowledge_point,KPHY-C003-039,related,0.86,SRC-C003-001,课标p20,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00038,curriculum_standard_item,CS-C003-2-3-5,knowledge_point,KPHY-C003-040,related,0.86,SRC-C003-001,课标p20-p21,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00039,curriculum_standard_item,CS-C003-2-3-6,knowledge_point,KPHY-C003-041,related,0.86,SRC-C003-001,课标p21,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00040,curriculum_standard_item,CS-C003-2-4,knowledge_point,KPHY-C003-042,related,0.86,SRC-C003-001,课标p21-p22,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00041,curriculum_standard_item,CS-C003-2-4-1,knowledge_point,KPHY-C003-043,related,0.86,SRC-C003-001,课标p21,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00042,curriculum_standard_item,CS-C003-2-4-2,knowledge_point,KPHY-C003-044,related,0.86,SRC-C003-001,课标p21,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00043,curriculum_standard_item,CS-C003-2-4-3,knowledge_point,KPHY-C003-045,related,0.86,SRC-C003-001,课标p21,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00044,curriculum_standard_item,CS-C003-2-4-3,knowledge_point,KPHY-C003-046,related,0.86,SRC-C003-001,课标p21,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00045,curriculum_standard_item,CS-C003-2-4-4,knowledge_point,KPHY-C003-047,related,0.86,SRC-C003-001,课标p21,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00046,curriculum_standard_item,CS-C003-2-4-5,knowledge_point,KPHY-C003-048,related,0.86,SRC-C003-001,课标p21-p22,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00047,curriculum_standard_item,CS-C003-2-4-6,knowledge_point,KPHY-C003-049,related,0.86,SRC-C003-001,课标p22,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00048,curriculum_standard_item,CS-C003-3-1,knowledge_point,KPHY-C003-051,related,0.86,SRC-C003-001,课标p24-p25,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00049,curriculum_standard_item,CS-C003-3-1-1,knowledge_point,KPHY-C003-052,related,0.86,SRC-C003-001,课标p25,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00050,curriculum_standard_item,CS-C003-3-1-2,knowledge_point,KPHY-C003-052,related,0.86,SRC-C003-001,课标p25,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00051,curriculum_standard_item,CS-C003-3-1-3,knowledge_point,KPHY-C003-053,related,0.86,SRC-C003-001,课标p25,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00052,curriculum_standard_item,CS-C003-3-2,knowledge_point,KPHY-C003-054,related,0.86,SRC-C003-001,课标p25-p26,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00053,curriculum_standard_item,CS-C003-3-2-1,knowledge_point,KPHY-C003-055,related,0.86,SRC-C003-001,课标p25,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00054,curriculum_standard_item,CS-C003-3-2-2,knowledge_point,KPHY-C003-056,related,0.86,SRC-C003-001,课标p26,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00055,curriculum_standard_item,CS-C003-3-2-3,knowledge_point,KPHY-C003-057,related,0.86,SRC-C003-001,课标p26,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00056,curriculum_standard_item,CS-C003-3-3,knowledge_point,KPHY-C003-058,related,0.86,SRC-C003-001,课标p26-p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00057,curriculum_standard_item,CS-C003-3-3-1,knowledge_point,KPHY-C003-059,related,0.86,SRC-C003-001,课标p26,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00058,curriculum_standard_item,CS-C003-3-3-2,knowledge_point,KPHY-C003-060,related,0.86,SRC-C003-001,课标p26,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00059,curriculum_standard_item,CS-C003-3-3-3,knowledge_point,KPHY-C003-061,related,0.86,SRC-C003-001,课标p26-p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00060,curriculum_standard_item,CS-C003-3-4,knowledge_point,KPHY-C003-062,related,0.86,SRC-C003-001,课标p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00061,curriculum_standard_item,CS-C003-3-4-1,knowledge_point,KPHY-C003-063,related,0.86,SRC-C003-001,课标p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00062,curriculum_standard_item,CS-C003-3-4-2,knowledge_point,KPHY-C003-064,related,0.86,SRC-C003-001,课标p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00063,curriculum_standard_item,CS-C003-3-4-2,knowledge_point,KPHY-C003-066,related,0.86,SRC-C003-001,课标p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00064,curriculum_standard_item,CS-C003-3-4-3,knowledge_point,KPHY-C003-064,related,0.86,SRC-C003-001,课标p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00065,curriculum_standard_item,CS-C003-3-4-4,knowledge_point,KPHY-C003-065,related,0.86,SRC-C003-001,课标p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00066,curriculum_standard_item,CS-C003-3-4-5,knowledge_point,KPHY-C003-067,related,0.86,SRC-C003-001,课标p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00067,curriculum_standard_item,CS-C003-3-4-6,knowledge_point,KPHY-C003-068,related,0.86,SRC-C003-001,课标p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00068,curriculum_standard_item,CS-C003-3-4-7,knowledge_point,KPHY-C003-069,related,0.86,SRC-C003-001,课标p27,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00069,curriculum_standard_item,CS-C003-3-5,knowledge_point,KPHY-C003-070,related,0.86,SRC-C003-001,课标p27-p28,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00070,curriculum_standard_item,CS-C003-3-6,knowledge_point,KPHY-C003-071,related,0.86,SRC-C003-001,课标p28,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00071,curriculum_standard_item,CS-C003-3-6-1,knowledge_point,KPHY-C003-072,related,0.86,SRC-C003-001,课标p28,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00072,curriculum_standard_item,CS-C003-3-6-2,knowledge_point,KPHY-C003-073,related,0.86,SRC-C003-001,课标p28,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00073,curriculum_standard_item,CS-C003-3-6-3,knowledge_point,KPHY-C003-073,related,0.86,SRC-C003-001,课标p28,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00074,curriculum_standard_item,CS-C003-4-1,knowledge_point,KPHY-C003-081,related,0.86,SRC-C003-001,课标p31-p32,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00075,curriculum_standard_item,CS-C003-4-1-1,knowledge_point,KPHY-C003-014,related,0.86,SRC-C003-001,课标p31,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00076,curriculum_standard_item,CS-C003-4-1-2,knowledge_point,KPHY-C003-015,related,0.86,SRC-C003-001,课标p31,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00077,curriculum_standard_item,CS-C003-4-1-4,knowledge_point,KPHY-C003-025,related,0.86,SRC-C003-001,课标p31-p32,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00078,curriculum_standard_item,CS-C003-4-1-5,knowledge_point,KPHY-C003-026,related,0.86,SRC-C003-001,课标p32,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00079,curriculum_standard_item,CS-C003-4-1-6,knowledge_point,KPHY-C003-027,related,0.86,SRC-C003-001,课标p32,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00080,curriculum_standard_item,CS-C003-4-2,knowledge_point,KPHY-C003-082,related,0.86,SRC-C003-001,课标p32-p34,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00081,curriculum_standard_item,CS-C003-4-2,knowledge_point,KPHY-C003-083,related,0.86,SRC-C003-001,课标p32-p34,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00082,curriculum_standard_item,CS-C003-4-2,knowledge_point,KPHY-C003-084,related,0.86,SRC-C003-001,课标p32-p34,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00083,curriculum_standard_item,CS-C003-4-2-3,knowledge_point,KPHY-C003-033,related,0.86,SRC-C003-001,课标p32,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00084,curriculum_standard_item,CS-C003-4-2-4,knowledge_point,KPHY-C003-034,related,0.86,SRC-C003-001,课标p32-p33,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00085,curriculum_standard_item,CS-C003-4-2-5,knowledge_point,KPHY-C003-031,related,0.86,SRC-C003-001,课标p33,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00086,curriculum_standard_item,CS-C003-4-2-6,knowledge_point,KPHY-C003-038,related,0.86,SRC-C003-001,课标p33,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00087,curriculum_standard_item,CS-C003-4-2-7,knowledge_point,KPHY-C003-039,related,0.86,SRC-C003-001,课标p33,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00088,curriculum_standard_item,CS-C003-4-2-8,knowledge_point,KPHY-C003-040,related,0.86,SRC-C003-001,课标p33,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00089,curriculum_standard_item,CS-C003-4-2-9,knowledge_point,KPHY-C003-045,related,0.86,SRC-C003-001,课标p33,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00090,curriculum_standard_item,CS-C003-4-2-10,knowledge_point,KPHY-C003-048,related,0.86,SRC-C003-001,课标p33,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00091,curriculum_standard_item,CS-C003-4-2-11,knowledge_point,KPHY-C003-065,related,0.86,SRC-C003-001,课标p33-p34,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00092,curriculum_standard_item,CS-C003-4-2-12,knowledge_point,KPHY-C003-066,related,0.86,SRC-C003-001,课标p34,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00093,curriculum_standard_item,CS-C003-5-1,knowledge_point,KPHY-C003-101,related,0.86,SRC-C003-001,课标p36-p37,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00094,curriculum_standard_item,CS-C003-5-2,knowledge_point,KPHY-C003-102,related,0.86,SRC-C003-001,课标p38,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00095,curriculum_standard_item,CS-C003-5-3,knowledge_point,KPHY-C003-103,related,0.86,SRC-C003-001,课标p38-p39,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00096,textbook_chapter,TBPHY-C003-002,knowledge_point,KPHY-C003-025,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00097,textbook_chapter,TBPHY-C003-002,knowledge_point,KPHY-C003-026,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00098,textbook_chapter,TBPHY-C003-003,knowledge_point,KPHY-C003-025,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00099,textbook_chapter,TBPHY-C003-004,knowledge_point,KPHY-C003-022,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00100,textbook_chapter,TBPHY-C003-005,knowledge_point,KPHY-C003-026,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00101,textbook_chapter,TBPHY-C003-006,knowledge_point,KPHY-C003-026,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00102,textbook_chapter,TBPHY-C003-006,knowledge_point,KPHY-C003-081,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00103,textbook_chapter,TBPHY-C003-007,knowledge_point,KPHY-C003-036,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00104,textbook_chapter,TBPHY-C003-007,knowledge_point,KPHY-C003-037,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00105,textbook_chapter,TBPHY-C003-008,knowledge_point,KPHY-C003-036,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00106,textbook_chapter,TBPHY-C003-009,knowledge_point,KPHY-C003-037,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00107,textbook_chapter,TBPHY-C003-010,knowledge_point,KPHY-C003-037,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00108,textbook_chapter,TBPHY-C003-011,knowledge_point,KPHY-C003-037,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00109,textbook_chapter,TBPHY-C003-012,knowledge_point,KPHY-C003-100,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00110,textbook_chapter,TBPHY-C003-012,knowledge_point,KPHY-C003-101,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00111,textbook_chapter,TBPHY-C003-013,knowledge_point,KPHY-C003-004,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00112,textbook_chapter,TBPHY-C003-013,knowledge_point,KPHY-C003-005,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00113,textbook_chapter,TBPHY-C003-013,knowledge_point,KPHY-C003-006,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00114,textbook_chapter,TBPHY-C003-013,knowledge_point,KPHY-C003-007,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00115,textbook_chapter,TBPHY-C003-014,knowledge_point,KPHY-C003-004,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00116,textbook_chapter,TBPHY-C003-015,knowledge_point,KPHY-C003-005,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00117,textbook_chapter,TBPHY-C003-016,knowledge_point,KPHY-C003-006,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00118,textbook_chapter,TBPHY-C003-017,knowledge_point,KPHY-C003-007,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00119,textbook_chapter,TBPHY-C003-018,knowledge_point,KPHY-C003-100,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00120,textbook_chapter,TBPHY-C003-018,knowledge_point,KPHY-C003-101,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00121,textbook_chapter,TBPHY-C003-019,knowledge_point,KPHY-C003-038,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00122,textbook_chapter,TBPHY-C003-019,knowledge_point,KPHY-C003-039,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00123,textbook_chapter,TBPHY-C003-019,knowledge_point,KPHY-C003-041,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00124,textbook_chapter,TBPHY-C003-020,knowledge_point,KPHY-C003-038,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00125,textbook_chapter,TBPHY-C003-021,knowledge_point,KPHY-C003-038,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00126,textbook_chapter,TBPHY-C003-022,knowledge_point,KPHY-C003-039,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00127,textbook_chapter,TBPHY-C003-023,knowledge_point,KPHY-C003-038,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00128,textbook_chapter,TBPHY-C003-024,knowledge_point,KPHY-C003-041,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00129,textbook_chapter,TBPHY-C003-025,knowledge_point,KPHY-C003-040,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00130,textbook_chapter,TBPHY-C003-026,knowledge_point,KPHY-C003-040,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00131,textbook_chapter,TBPHY-C003-027,knowledge_point,KPHY-C003-040,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00132,textbook_chapter,TBPHY-C003-028,knowledge_point,KPHY-C003-040,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00133,textbook_chapter,TBPHY-C003-028,knowledge_point,KPHY-C003-082,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00134,textbook_chapter,TBPHY-C003-029,knowledge_point,KPHY-C003-040,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00135,textbook_chapter,TBPHY-C003-030,knowledge_point,KPHY-C003-100,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00136,textbook_chapter,TBPHY-C003-030,knowledge_point,KPHY-C003-102,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00137,textbook_chapter,TBPHY-C003-031,knowledge_point,KPHY-C003-014,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00138,textbook_chapter,TBPHY-C003-031,knowledge_point,KPHY-C003-015,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00139,textbook_chapter,TBPHY-C003-032,knowledge_point,KPHY-C003-014,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00140,textbook_chapter,TBPHY-C003-033,knowledge_point,KPHY-C003-015,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00141,textbook_chapter,TBPHY-C003-034,knowledge_point,KPHY-C003-015,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00142,textbook_chapter,TBPHY-C003-034,knowledge_point,KPHY-C003-081,related,0.88,SRC-C003-002,目录p5-p6,textbook_to_knowledge,pending_review,false,true,candidate mapping
