stable_id,parent_stable_id,title,subject,stage,standard_version,authority,standard_section,requirement_type,behavior_verb,ability_dimensions,source_material_ids,evidence_locations,knowledge_stable_ids,review_status,production_eligible,notes
CS-C003-2-3-5,CS-C003-2-3,了解透镜作用并探究凸透镜成像规律及应用,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.3.5,content_requirement,了解;探究;应用,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p20-p21,KPHY-C003-040,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-3-6,CS-C003-2-3,通过实验了解白光组成和色光混合现象,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.3.6,content_requirement,通过实验;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21,KPHY-C003-041,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4,,电和磁,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4,content_requirement,观察;认识;探究;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21-p22,KPHY-C003-042,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-1,CS-C003-2-4,观察摩擦起电并了解静电防止和利用技术,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.1,content_requirement,观察;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21,KPHY-C003-043,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-2,CS-C003-2-4,通过实验认识磁场并知道地磁场,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.2,content_requirement,通过实验;认识;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21,KPHY-C003-044,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-3,CS-C003-2-4,了解电流周围磁场并探究通电螺线管外部磁场方向,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.3,content_requirement,了解;探究,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21,KPHY-C003-045;KPHY-C003-046,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-4,CS-C003-2-4,了解通电导线在磁场中受力及力方向影响因素,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.4,content_requirement,了解;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21,KPHY-C003-047,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-5,CS-C003-2-4,探究导体在磁场中运动产生感应电流条件,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.5,content_requirement,探究;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21-p22,KPHY-C003-048,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-6,CS-C003-2-4,知道电磁波及真空传播速度并了解应用,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.6,content_requirement,知道;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p22,KPHY-C003-049,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-1,,能量及其转化和转移,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.1,content_requirement,了解;认识;结合实例,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p24-p25,KPHY-C003-051,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-1-1,CS-C003-3-1,了解能量及不同形式并描述与生产生活联系,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.1.1,content_requirement,了解;描述,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p25,KPHY-C003-052,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-1-2,CS-C003-3-1,通过实验认识能量转移和不同形式能量转化,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.1.2,content_requirement,通过实验;认识;列举,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p25,KPHY-C003-052,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-1-3,CS-C003-3-1,结合实例认识功的概念和能量转化转移过程,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.1.3,content_requirement,结合实例;认识;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p25,KPHY-C003-053,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-2,,机械能,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.2,content_requirement,知道;了解;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p25-p26,KPHY-C003-054,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-2-1,CS-C003-3-2,知道动能势能机械能并了解动势能转化,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.2.1,content_requirement,知道;了解;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p25,KPHY-C003-055,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-2-2,CS-C003-3-2,知道机械功和功率并说明其含义,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.2.2,content_requirement,知道;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p26,KPHY-C003-056,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-2-3,CS-C003-3-2,知道机械效率并了解提高机械效率意义和途径,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.2.3,content_requirement,知道;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p26,KPHY-C003-057,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-2-4,CS-C003-3-2,说出人类使用的机械并了解机械作用,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.2.4,content_requirement,说出;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p26,,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-3,,内能,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.3,content_requirement,了解;认识;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p26-p27,KPHY-C003-058,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-3-1,CS-C003-3-3,了解内能和热量并从能量角度认识燃料热值,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.3.1,content_requirement,了解;认识,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p26,KPHY-C003-059,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-3-2,CS-C003-3-3,通过实验了解比热容并说明自然现象,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.3.2,content_requirement,通过实验;了解;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p26,KPHY-C003-060,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-3-3,CS-C003-3-3,了解热机工作原理和内能利用意义,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.3.3,content_requirement,了解;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p26-p27,KPHY-C003-061,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-4,,电磁能,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.4,content_requirement,认识;知道;探究;会,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p27,KPHY-C003-062,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-4-1,CS-C003-3-4,从能量转化角度认识电源和用电器作用,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.4.1,content_requirement,认识,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p27,KPHY-C003-063,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-4-2,CS-C003-3-4,知道电压电流电阻并探究电流与电压电阻关系理解欧姆定律,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.4.2,content_requirement,知道;探究;理解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p27,KPHY-C003-064;KPHY-C003-066,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-4-3,CS-C003-3-4,会使用电流表和电压表,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.4.3,content_requirement,会,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p27,KPHY-C003-064,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-4-4,CS-C003-3-4,会画简单电路图并连接串并联电路探究电流电压特点,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.4.4,content_requirement,会;连接;探究,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p27,KPHY-C003-065,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-4-5,CS-C003-3-4,了解电功电功率及额定功率实际功率,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.4.5,content_requirement,了解;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p27,KPHY-C003-067,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-4-6,CS-C003-3-4,通过实验了解焦耳定律并说明相关现象,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.4.6,content_requirement,通过实验;了解;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p27,KPHY-C003-068,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-4-7,CS-C003-3-4,了解家庭电路组成并有安全用电节约用电意识,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.4.7,content_requirement,了解;意识,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p27,KPHY-C003-069,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-5,,能量守恒,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.5,content_requirement,知道;认识;列举,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p27-p28,KPHY-C003-070,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-5-1,CS-C003-3-5,知道能量守恒定律并列举实例,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.5.1,content_requirement,知道;列举,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p27-p28,,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-5-2,CS-C003-3-5,从能量转化和转移角度认识效率,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.5.2,content_requirement,认识,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p28,,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-5-3,CS-C003-3-5,列举能量转化和转移具有方向性的实例,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.5.3,content_requirement,列举,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p28,,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-6,,能源与可持续发展,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.6,content_requirement,列举;知道;体会,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p28,KPHY-C003-071,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-6-1,CS-C003-3-6,列举常见不可再生能源和可再生能源,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.6.1,content_requirement,列举,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p28,KPHY-C003-072,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-6-2,CS-C003-3-6,知道核能特点和核能利用可能问题,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.6.2,content_requirement,知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p28,KPHY-C003-073,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-6-3,CS-C003-3-6,从能源开发利用角度体会可持续发展重要性,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.6.3,content_requirement,体会,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p28,KPHY-C003-073,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-1,,测量类学生必做实验,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.1,content_requirement,测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p31-p32,KPHY-C003-081,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-1-1,CS-C003-4-1,用托盘天平测量物体质量,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.1.1,content_requirement,测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p31,KPHY-C003-014,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-1-2,CS-C003-4-1,测量固体和液体密度,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.1.2,content_requirement,测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p31,KPHY-C003-015,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-1-3,CS-C003-4-1,用常见温度计测量温度,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.1.3,content_requirement,测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p31,,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-1-4,CS-C003-4-1,用刻度尺测量长度用表测量时间,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.1.4,content_requirement,测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p31-p32,KPHY-C003-025,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-1-5,CS-C003-4-1,测量物体运动速度,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.1.5,content_requirement,测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p32,KPHY-C003-026,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-1-6,CS-C003-4-1,用弹簧测力计测量力,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.1.6,content_requirement,测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p32,KPHY-C003-027,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-1-7,CS-C003-4-1,用电流表测量电流,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.1.7,content_requirement,测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p32,,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-1-8,CS-C003-4-1,用电压表测量电压,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.1.8,content_requirement,测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p32,,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-1-9,CS-C003-4-1,用电流表和电压表测量电阻,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.1.9,content_requirement,测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p32,,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-2,,探究类学生必做实验,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.2,content_requirement,探究,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p32-p34,KPHY-C003-082;KPHY-C003-083;KPHY-C003-084,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-2-1,CS-C003-4-2,探究水沸腾前后温度变化特点,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.2.1,content_requirement,探究,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p32,,pending_review,false,课程标准手工结构化候选条目
CS-C003-4-2-2,CS-C003-4-2,探究滑动摩擦力大小影响因素,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-4.2.2,content_requirement,探究,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p32,,pending_review,false,课程标准手工结构化候选条目
