question_id,year,paper_id,source_file,question_number,question_type,score,page_or_location,stem_summary,primary_knowledge_id,secondary_knowledge_ids,primary_exam_point_id,secondary_exam_point_ids,ability_dimensions,curriculum_item_ids,textbook_node_ids,answer_source_id,year_report_source_id,confidence,extracted_by,review_status,production_eligible,notes
QPHY-C003-2016-11,2016,SRC-C003-005,2016广州中考.pdf,11,choice,3,真题p3,11.图 6 所示，静止时Ｕ型管两侧液面相平.下列选项包含图 7 中所有合理情形的是 充气 抽气 气流方向 气流方向 大气 大气 大气 大气 大气 大气 h h h h 甲 乙 丙 丁 图 6 图 7 A.乙、丁 B.甲、丙 C.乙、丙 D.甲、丁,KPHY-C003-027,,EPHY-C003-014,EPHY-C003-040,科学推理;模型建构,CS-C003-2-2-3;CS-C003-4-1-6,TBPHY-C003-041;TBPHY-C003-043;TBPHY-C003-044;TBPHY-C003-045,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-12,2016,SRC-C003-005,2016广州中考.pdf,12,choice,3,真题p3,12.图 8 所示，规格相同的容器装了相同质量的纯净水.用不同加热器加热，忽略散热，得到 图 9 所示的水温与加热时间的图线，则 A.乙中温度计示数为 32℃ B.加热相同时间，两杯水吸收的热量相同 C.吸收相同的热量，甲杯的水升温比乙杯的多 D.甲杯的水加热 2min 与乙杯的水加热 3min 吸收的热量相同 甲 50 温度/℃ 乙 ºC 40 40 30 30 20 20 加热器 1 加热器 2 10 0 甲 乙 1 2 3 时间/min 图 8 图 9,KPHY-C003-004,,EPHY-C003-006,EPHY-C003-009;EPHY-C003-040;EPHY-C003-041,信息提取;实验探究,CS-C003-1-1-2,TBPHY-C003-013;TBPHY-C003-014,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-13,2016,SRC-C003-005,2016广州中考.pdf,13,fill_or_drawing,,真题p3,13.（1）图 10 所示，光源 Q 发出的一束光经平面镜反射在墙上显示出一个光点. ① 画出光源 Q 在平面镜中的像. ② 画出镜面反射的光线并标出墙上光点的位置. 凸透镜 Q 墙 F F N M 平面镜 图 10 图 11 （2）① 画出图 11 中两条入射光线经凸透镜后的光线. ② 与物比较，物体 MN 经凸透镜成________（选填“放大”、“缩小”）________ （选填“正立”、“倒立”）的像.,KPHY-C003-040,,EPHY-C003-025,EPHY-C003-023;EPHY-C003-024;EPHY-C003-040,科学推理;实验探究,CS-C003-2-3-5;CS-C003-4-2-8,TBPHY-C003-025;TBPHY-C003-026;TBPHY-C003-027;TBPHY-C003-028,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-14,2016,SRC-C003-005,2016广州中考.pdf,14,fill_or_drawing,,真题p4,14. 利用材料 A 制造强力磁铁. （1）加热材料 A，温度一直低于其熔点，一段时间后，A 质量不变、体积减小.此过 程中，A 处于_______ （选填“固态”、“液态”、“固液混合态”）.依据公式____， A 的密度_________（选填“增大”、“减小”、“不变”）. （2）图 12 所示，A 的每个原子都有 N、S 极，相当于磁性很弱的“小磁铁”.“小磁 铁”杂乱无章排列时，A 对外不显磁性.当“小磁铁”按图 13 所示同向排列时， A 具有磁性（图 14）.强力磁铁不耐高温，高温加热会使磁性消失.从分子热运 动的角度解释为什么高温会让强力磁铁磁性消失. 强力磁铁 A N N N N N F A S S S S N N N N O A B S S S S N N N N N S S S S S S N N N N S S S S G 原子 微 观 宏 观 图 12 图 13 图 14 图 15,KPHY-C003-005,,EPHY-C003-005,EPHY-C003-011;EPHY-C003-040,科学推理,CS-C003-1-1-3,TBPHY-C003-013;TBPHY-C003-015,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-15,2016,SRC-C003-005,2016广州中考.pdf,15,fill_or_drawing,,真题p4,15. 图 15 所示，不计质量的硬杆处于水平静止状态. （1）O 为支点，画出 F 的力臂 l . A A （2）撤去 F ，在 B 点施加力 F ，硬杆仍可保持水平静止状态. 若 F 大小等于 F ， A B B A 则 F 的力臂 l _____l （选填“>”、“=”、“<”）. B B A,KPHY-C003-027,,EPHY-C003-014,EPHY-C003-040,科学推理;模型建构,CS-C003-2-2-3;CS-C003-4-1-6,TBPHY-C003-041;TBPHY-C003-043;TBPHY-C003-044;TBPHY-C003-045,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-16,2016,SRC-C003-005,2016广州中考.pdf,16,fill_or_drawing,,真题p4,16. 图 16 中玩具猩猩手中的香蕉以相同大小的速度转动.图 17 所示，香蕉（看成点）从最 高位置 1 转到最低位置 2 的过程中，其动能_____、重力势能____、机械能_______. （选 填“增大”、“不变”、“减小”） LED 1 + - LED 2 图 16 图 17,KPHY-C003-055,,EPHY-C003-017,EPHY-C003-002;EPHY-C003-040,科学推理;信息提取,CS-C003-3-2-1,TBPHY-C003-061;TBPHY-C003-064;TBPHY-C003-065,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-17,2016,SRC-C003-005,2016广州中考.pdf,17,fill_or_drawing,,真题p4,17. 拆开图 16 中玩具，发现电源、开关、发光二极管（简称“LED”）、电动机（符号“○ M ”） 各一个及连接导线. 闭合开关，电动机顺时针转动，LED 亮. 将电动机一端连线断开， 闭合开关，LED 亮. （1）在方框内画出玩具的电路图. （2）把电动机断开的连线接回原处.将电源正、负极反接，闭合开关，电动机_____转动 （选填“不”、“顺时针”、“逆时针”），LED_____（选填“亮”、“不亮”）.,KPHY-C003-017,,EPHY-C003-011,EPHY-C003-028;EPHY-C003-031;EPHY-C003-040,科学推理,CS-C003-1-3-1,TBPHY-C003-083,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-18,2016,SRC-C003-005,2016广州中考.pdf,18,fill_or_drawing,,真题p5,18. 对某汽车做测试，只调整轮胎气压，测得单 ． 个 ． 轮 ． 胎 ． 数据在表 1. 表 1（每次单个轮胎对地压力不变） 次数 1 2 3 轮胎气压/×105Pa 4.6 8.1 10.5 地面的受力面积/×10-2m2 3.6 3.0 2.4 对地压强/×105Pa 5.0 6.0 7.5 （1）根据公式_______，单个轮胎对地压力为_______N. （2）根据表 1，要减小空车停在水平路面时的对地压强，可 ． 行 ． 方法是_____________,KPHY-C003-032,,EPHY-C003-020,EPHY-C003-040;EPHY-C003-013;EPHY-C003-021,数学运算;科学推理,CS-C003-2-2-7,TBPHY-C003-050;TBPHY-C003-051,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-19,2016,SRC-C003-005,2016广州中考.pdf,19,fill_or_drawing,,真题p5,19. 被细绳拴着的小球在水 ． 平 ． 面 ． 绕 O 点做圆周运动，轨迹图如图 18 中虚线所示.不计阻力. 某时刻细绳断，小球速度为 v.过一段时间小球出现在P点，速度为 v＇（见图18）. v _____ v＇(选填“>”、“=”、“<”). 作图找出细绳断时小球的位置，用点在轨迹图上表示. v＇ 细绳 O 小球 P 图 18,KPHY-C003-084,,EPHY-C003-040,EPHY-C003-002;EPHY-C003-016,信息提取,CS-C003-4-2,,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-20,2016,SRC-C003-005,2016广州中考.pdf,20,analysis_calculation,,真题p3,20. 图 19 所示，质量为 3×104kg 的鲸静止在海里.g 取 10N/kg.海水密度不变. 海面 图 19 （1）在方框内画出此时鲸的受力示意图（以点代替鲸）. （2）求此时鲸受到的浮力大小. （3）鲸在下潜过程中，海水的压力会让鲸的胸腔塌陷，使鲸体积逐渐变小.分析鲸在下 潜过程中所受浮力的变化.,KPHY-C003-084,,EPHY-C003-040,,信息提取,CS-C003-4-2,,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-21,2016,SRC-C003-005,2016广州中考.pdf,21,analysis_calculation,,真题p6,21. 图 20 所示，闭合开关，改变 R 阻值，在表 2 中记下几组电流表、电压表的读数. 1 图 21 已作出 R 的 U-I 图线. 2 U/V 3.5 V 3.0 2.5 D R 1 E R 2 F 2.0 1.5 1.0 R 2 A 0.5 S 0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 I/A 图 20 图 21 表 2 电 0. 0. 0. 0. 流/A 1 3 4 5 电 2. 1. 1. 0. 压/V 5 5 0 5 （1）求 R 的阻值. 2 （2）根据表 2 数据在图 21 中描点并连线. （3）电流表示数为 0.2A 时，电压 U =_____、电压 U =_______. DE EF （4）电流表示数为 0.4A 时，电压 U =_______，求 50s 内 R 、R 消耗的总电能. DF 1 2,KPHY-C003-081,,EPHY-C003-032,EPHY-C003-040;EPHY-C003-041;EPHY-C003-031,实验探究;规范表达,CS-C003-4-1,TBPHY-C003-006;TBPHY-C003-034;TBPHY-C003-094;TBPHY-C003-105,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-22,2016,SRC-C003-005,2016广州中考.pdf,22,experiment_inquiry,,真题p6,22.（1）小明按图 22 连接实物、接通电路，电流表有示数，电压表示数为 0.5V.当移动滑 动变阻器滑片时，电压表示数不变，检查发现只有滑动变阻器接线出错，该错误 是 . V V A A -- 3 15 -- 0.6 3 - + 图 22 电源电压 4.5V 图 23 （2）按图 22 在图 23 中正确连接实物. （3）正确连接后，小灯泡刚发光时电压表、电流表的示数如图 24 所示.完成表 3. （4）根据表 3，归 ． 纳 ． 小灯泡电阻变化的规律. 表 3 小灯泡的实验数据 5 1 0 发光情况 刚发光 较亮 很亮 0 1 2 1 5 U/V 2.00 3.00 0 V 3 A I/A 0.30 0.38 P/W 0.60 1.14 R/Ω 6.67 7.89 ˉ 3 15 ˉ 0.6 3 图 24,KPHY-C003-081,,EPHY-C003-032,EPHY-C003-040;EPHY-C003-041;EPHY-C003-034,实验探究;规范表达,CS-C003-4-1,TBPHY-C003-006;TBPHY-C003-034;TBPHY-C003-094;TBPHY-C003-105,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-23,2016,SRC-C003-005,2016广州中考.pdf,23,experiment_inquiry,,真题p7,23.（1）图 25 所示，赤道表面地磁场磁感线与水平地面平行指向北方，导线与能测微弱电 流的电流表组成闭合电路，下列哪种操作可让电流表指针摆动？________ A．导线水平南北放置，水平向东运动 B．导线水平南北放置，竖直向上运动 C．导线水平东西放置，竖直向下运动 D．导线水平东西放置，水平向北运动 图 25 （2）科学家猜测，A 地海龟在春季是利用地磁场（图26）向南返回出生地.以下为相关研究. ① 春季 A 地某屏蔽磁场的实验室，无磁场环境下海龟无固定游向.把海龟置于模拟地 磁场中（用图 27 简化示意），图中 1 为磁体 N 极，2 为磁体___极.按科学家猜测， 海龟应向___游动（选填“左”、“右”）. ② 地磁场在缓慢变化.科学家每年记录海龟出生地筑巢地点移动的方向，并追踪地磁 场的微小移动方向，发现_______________，现 ． 象 ． 符 ． 合 ． 猜 ． 测 ． . 地磁的南极 左 海龟 右 1 2 I I 接电源 接电源 地理南极 图 27 图 26,KPHY-C003-084,,EPHY-C003-040,EPHY-C003-026;EPHY-C003-029;EPHY-C003-032,信息提取,CS-C003-4-2,,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-24,2016,SRC-C003-005,2016广州中考.pdf,24,experiment_inquiry,,真题p8,24. (16 中考)（1）图 28 中测力计示数为____N. （2）小明猜测：“图28 中滑轮组提升的物体越轻，机械效率越高”. 设计实验检验其猜测，并填写实验报告. ① 实验目的：_________________ ② 实验步骤（若需要可补充器材）： ③ 滑轮组的机械效率（用所测出的物理量表达）： ____________,KPHY-C003-053,,EPHY-C003-018,EPHY-C003-040;EPHY-C003-010;EPHY-C003-044,数学运算;信息提取,CS-C003-3-1-3,TBPHY-C003-061;TBPHY-C003-062,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2017-01,2017,SRC-C003-008,2017广州中考.pdf,1,choice,3,真题p1,1．为了避免人体肩部受到伤害，专家建议人肩负的书包总质量不要超过人体质量的 15%．根据建议，你估计中学生肩负的书包总质量通常不要超过 A．9t B．9kg C．9g D．9mg,KPHY-C003-014,,EPHY-C003-001,,信息提取;科学推理,CS-C003-4-2,,SRC-C003-009,SRC-C003-010,0.82,chatgpt_web,pending_review,false,candidate full question row; stem and candidate mapping repaired from verified source region; stem repaired from verified source region
QPHY-C003-2017-02,2017,SRC-C003-008,2017广州中考.pdf,2,choice,3,真题p1,2．如图 1，手机与音叉的位置保持不变．利用手机软件测出音叉发出的声音从 30dB 变 为 50dB．说明音叉振动的 A．振幅变大 B．振幅变小 C．频率变大 D．频率变小 音叉 手机 图 1,KPHY-C003-037,,EPHY-C003-003,,信息提取;科学推理,CS-C003-4-2,,SRC-C003-009,SRC-C003-010,0.82,chatgpt_web,pending_review,false,candidate full question row; stem and candidate mapping repaired from verified source region; stem repaired from verified source region
QPHY-C003-2017-03,2017,SRC-C003-008,2017广州中考.pdf,3,choice,3,真题p1,3．如图 2，用带电棒接触原来不带电的验电器的金属球，发现验电器的金属箔张开，下 列判断正确的是 A．带电棒一定带正电 B．带电棒一定带负电 C．两片金属箔一定带异种电荷 D．两片金属箔一定带同种电荷 图 1 带电棒 金属球 金属箔 图 2,KPHY-C003-043,,EPHY-C003-012,,科学推理,CS-C003-4-2,,SRC-C003-009,SRC-C003-010,0.82,chatgpt_web,pending_review,false,candidate full question row; stem and candidate mapping repaired from verified source region; stem repaired from verified source region
QPHY-C003-2017-04,2017,SRC-C003-008,2017广州中考.pdf,4,choice,3,真题p1,4．图 3 中的 a 表示垂直于纸面的一根导线，它是闭合回路的一部分．它在图 4 所示各 磁场中水平运动时，哪种情况不 ． 会 ． 产生感应电流 磁感线 磁感线 磁感线 磁感线 a 水平运动 A B C D 图 3 图 4,KPHY-C003-048,,EPHY-C003-029,,信息提取;科学推理,CS-C003-4-2,,SRC-C003-009,SRC-C003-010,0.82,chatgpt_web,pending_review,false,candidate full question row; stem and candidate mapping repaired from verified source region; stem repaired from verified source region
QPHY-C003-2017-05,2017,SRC-C003-008,2017广州中考.pdf,5,choice,3,真题p1,5．电梯匀速上升过程中，电梯的 A．动能保持不变 B．机械能保持不变 C．重力势能保持不变 D．动能转化为重力势能,KPHY-C003-055,,EPHY-C003-017,,科学推理,CS-C003-2-3-2,TBPHY-C003-007;TBPHY-C003-009;TBPHY-C003-010;TBPHY-C003-011,SRC-C003-009,SRC-C003-010,0.82,chatgpt_web,pending_review,false,candidate full question row; stem and candidate mapping repaired from verified source region; stem repaired from verified source region
QPHY-C003-2017-06,2017,SRC-C003-008,2017广州中考.pdf,6,choice,3,真题p2,6．甲、乙两杯水温度各为 40℃、80℃．下列说法正确的是 A．只有加热才能使水升温 B．甲杯中水的内能一定比乙杯中的小 C．乙杯中水的温度降低，水的内能一定减小 D．甲杯中的水分子运动一定比乙杯中的剧烈,KPHY-C003-023,,EPHY-C003-007,EPHY-C003-008,科学推理,CS-C003-2-1-2,TBPHY-C003-083,SRC-C003-009,SRC-C003-010,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2017-07,2017,SRC-C003-008,2017广州中考.pdf,7,choice,3,真题p2,7．图 5 中小球相对于水平桌面静止．小红通过观察，作出如下判断．正确的是 A．窗外另一列车相对她不动，则她坐的车一定是对地静止的 B．窗外另一列车相对她向东行驶，则她坐的车一定对地向西行驶 C．小球突然“自动”向东滚动，则她坐的车一定向西启动 D．小球突然“自动”滚动，则她坐的车运动状态一定发生了改变 体积/cm3 1.0005 1.0004 1.0003 1.0002 小球 小红 1.0001 1.0000 0.9999 0 2 4 6 8 10 12 温度/℃ 图 5 图 6,KPHY-C003-030,,EPHY-C003-016,EPHY-C003-014;EPHY-C003-040,科学推理;模型建构,CS-C003-2-2-5,TBPHY-C003-045;TBPHY-C003-046,SRC-C003-009,SRC-C003-010,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2017-08,2017,SRC-C003-008,2017广州中考.pdf,8,choice,3,真题p2,8．图 6 是标准大气压下，质量为 1g 的某液体的体积—温度图，以下说法正确的是 A．4℃时，液体密度最小 B．温度升高，液体密度不变 C．1℃时液体的体积比 5℃时的大 D．由 1℃升高到 8℃，液体体积一直变大,KPHY-C003-033,,EPHY-C003-021,EPHY-C003-016;EPHY-C003-040,科学推理;信息提取,CS-C003-2-2-8;CS-C003-4-2-3,TBPHY-C003-050;TBPHY-C003-052;TBPHY-C003-053;TBPHY-C003-055,SRC-C003-009,SRC-C003-010,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2017-09,2017,SRC-C003-008,2017广州中考.pdf,9,choice,3,真题p3,9．甲、乙两物体质量都为 1kg，丙物体质量为 2kg， Q/J 三个物体温度都升高 1℃，吸收热量如图 7．以下说法正 5000 确的是 4000 3000 A．乙的比热容与丙的相等 2000 B．甲的比热容比乙的大 1000 C．甲的温度升高 1℃，需吸收 2000J 的热量 甲 乙 丙 物体 D．甲、乙的温度都降低 1℃，乙比甲放出的热量多 图 7,KPHY-C003-060,,EPHY-C003-009,EPHY-C003-040,数学运算;科学推理,CS-C003-3-3-2,TBPHY-C003-081;TBPHY-C003-082,SRC-C003-009,SRC-C003-010,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2017-10,2017,SRC-C003-008,2017广州中考.pdf,10,choice,3,真题p2,10．关于图 8、9 中各物理量的关系有以下的描述 （1）I ＝I ＝I ＝I （2）U ＝U ＝U ＝U 1 2 3 4 1 2 3 4 （3）U =U U ≠U （4）I =I I ≠I 3 4 2 4 1 2 2 4 正确的是 A．（2）、（4） B．（1）、（2） C．（3）、（4） D．（1）、（3）,KPHY-C003-084,,EPHY-C003-040,,信息提取,CS-C003-4-2,,SRC-C003-009,SRC-C003-010,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2017-11,2017,SRC-C003-008,2017广州中考.pdf,11,choice,3,真题p3,11．蜡烛放在如图 10 所示位置，通过凸透镜成倒立、缩小的像．小红画了图中的光路．下 列说法正确的是 A．小红画的光路是正确的 B．透镜成的是虚像 C．透镜的焦距小于 10cm D．透镜的焦距大于 20cm 30 cm 20 10 0 10 20 30 图 10,KPHY-C003-040,,EPHY-C003-025,EPHY-C003-023;EPHY-C003-024;EPHY-C003-040,科学推理;实验探究,CS-C003-2-3-5;CS-C003-4-2-8,TBPHY-C003-025;TBPHY-C003-026;TBPHY-C003-027;TBPHY-C003-028,SRC-C003-009,SRC-C003-010,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2017-12,2017,SRC-C003-008,2017广州中考.pdf,12,choice,3,真题p3,12．图 11 中力 F 水平拉动重为 G 的物体 A 在水平路面匀速移动了 s．改用滑轮组拉动 1 A 在同一路面匀速移动了 s，拉力为 F （如图 12）．此过程滑轮组 2 A．总功为 F 2 s B．额外功为 F 1 s C．机械效率为 Gs D．额外功为 3F 2 s-F 1 s F ×(3s) 2 F 2 F 1 A A s s 图 11 图 12,KPHY-C003-053,,EPHY-C003-018,EPHY-C003-010;EPHY-C003-013;EPHY-C003-014,数学运算;信息提取,CS-C003-3-1-3,TBPHY-C003-061;TBPHY-C003-062,SRC-C003-009,SRC-C003-010,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2017-13,2017,SRC-C003-008,2017广州中考.pdf,13,fill_or_drawing,,真题p4,13．如图 13，一束光从空气射到水面 O 点，反射光线在容器壁上形成一光点 A．（1）画出 反射光线及对应的入射光线；（2）大致画出该入射光线进入水的折射光线；（3）A 在水中的 像到 A 的距离为_________cm． 50 A 40 空气 30 O 水 20 cm 10 图 13,KPHY-C003-038,,EPHY-C003-023,EPHY-C003-040,科学推理;信息提取,CS-C003-2-3-3;CS-C003-4-2-6,TBPHY-C003-019;TBPHY-C003-020;TBPHY-C003-021;TBPHY-C003-023,SRC-C003-009,SRC-C003-010,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
