observation_id,year,question_id,question_number,source_material_ids,source_file,evidence_locations,official_exam_point_summary,difficulty_value,discrimination_value,option_distribution_summary,common_errors_summary,teaching_suggestion_summary,confidence,review_status,production_eligible,notes
YRO-C003-2016-11,2016,QPHY-C003-2016-11,11,SRC-C003-007,2016广州中考年报.pdf,年报p15;文档核验:2016Q11逐题分析,考查的科学内容：“运动和相互作用”主题,0.7437,0.5034,A:4.8499%;B:74.3657%;C:16.0728%;D:4.558%,错选A、D 学生人数比错选C 少，可以推测，本题若不是采用组合答案的形式， 而是把题型改为多选题，甲、乙、丙、丁四个图让学生选出正确的答案，估计得分率会大大 下降，学生根据生活经验是比较有把握判断丙、丁的对错，但对甲、乙两图的判断很多学生 是靠回忆脑里的一个记忆情景判断而不是根…,年报p15逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p15; original=2016广州中考.pdf#真题p3; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:teaching_suggestion_summary
YRO-C003-2016-12,2016,QPHY-C003-2016-12,12,SRC-C003-007,2016广州中考年报.pdf,年报p17;文档核验:2016Q12逐题分析,考查的科学内容：“物质”、“能量”主题,0.6246,0.4481,A:1.2542%;B:11.7055%;C:24.4077%;D:62.4618%;未选:36%,错误答案。从考试拿分这角度来分 析，快但全错，不如慢，做一题对一题最后得分还高。 平时的教学还可以拓展本题，让学生根据所给信息推测哪个加热棒的功率大？求两加热 棒的功率之比。 其实解答本题与以前做过相同热源加热的题目，本质是没有区别，只是呈现的情景不同， 分析方法是一样的（有关…,教学建议可查看2014 年中考分析报 告）。平时的教学，历年相关考题选一题，今年的考题，再加上刚才分析时拓展比较加热棒 功率。三道题，老师可以把其中一题放在新授课后练习，讲评严格按刚才的思路讲评，让学 生掌握根据问题提取有效信息，根据物理规律解决问题的方法，然后布置另一题让学生…,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p17; original=2016广州中考.pdf#真题p3; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页
YRO-C003-2016-13,2016,QPHY-C003-2016-13,13,SRC-C003-007,2016广州中考年报.pdf,年报p19;文档核验:2016Q13逐题分析,考查的科学内容：“运动和相互作用”主题,0.7569,0.5823,年报p19未检索到明确选项分布；已核验为缺项或非选择题,典型错误： （1）如 所示，认为Q 的虚像在入射光线的延长线上。 （2）如 所示，以法线作为对称轴画Q 的对称点。 （3）如 所示，把墙壁当平面镜来画Q 的虚像Q′。 （4）如 所示，所画的像点到镜的距离与物到镜的距离不等，而像点不在所画的反 射光线的反向延长线上。 （1）、（…,教学建议可查阅2015 年中考年报分析）。 犯了第（4）类错误的学生，反映出学生很典型的一个问题：知识碎片化，不少学生记 住了所有知识，但这些知识是割裂，知识没有连成网，也不会利用相关的知识相互印证自己 解决问题的过程及得到的结论是否正确。 解决第（1）问两个问题最简单的方法是…,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p19; original=2016广州中考.pdf#真题p3; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:option_distribution_summary
YRO-C003-2016-14,2016,QPHY-C003-2016-14,14,SRC-C003-007,2016广州中考年报.pdf,年报p22;文档核验:2016Q14逐题分析,考查的科学内容：“物质”、“运动和相互作用”主题,0.6113,0.6207,年报p22未检索到明确选项分布；已核验为缺项或非选择题,学生的典型错误主要分以下四类： （1）“因为强力磁铁不耐高温”。“温度越高，分子运动就越快温度越高，分子运动就越 快”。“高温使A 材料分子做无规则运动以致其失去磁性”。 （2）“因为高温，分子的内能越大”。 （3）“温度越高，分子运动越剧烈，材料分子间距拉大，散失在空气中，失…,建议：利用磁铁和缝衣针制作指南针。 第（1）问满分：3，平均分：1.8911，难度：0.6304，区分度：0.5687。 命题预设此题是一道易题，只要求学生通过阅读及能回忆密度公式就能拿分。为什么要 填写公式？基于两个理由：给学生一个解决问题的思路，让学生知道可以根据这公式判断…,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p22; original=2016广州中考.pdf#真题p4; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:option_distribution_summary
YRO-C003-2016-15,2016,QPHY-C003-2016-15,15,SRC-C003-007,2016广州中考年报.pdf,年报p24;文档核验:2016Q15逐题分析,考查的科学内容：“运动和相互作用”主题,0.6381,0.6875,年报p24未检索到明确选项分布；已核验为缺项或非选择题,典型错误如 所示。推测错误的学生答错的原因主要是不清楚力臂的定义。在黑 板上给出一条直线，给出一个点，让学生画点到线的距离，这对绝大多数学生来说不是难题。  FA A B O G  25 / 52 但学生在杠杆这节课就是不会画力臂。从平时观察及学生错误卷推测，学生主要原因是找不…,教学建议请查阅2013 年中考分析报告（“试题分析”、 “反思和教学建议”）和2014 年中考分析报告。,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p24; original=2016广州中考.pdf#真题p4; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:option_distribution_summary
YRO-C003-2016-16,2016,QPHY-C003-2016-16,16,SRC-C003-007,2016广州中考年报.pdf,年报p25;文档核验:2016Q16逐题分析,考查的科学内容：“能量”主题,0.5801,0.558,年报p25未检索到明确选项分布；已核验为缺项或非选择题,年报p25逐题分析未检索到明确典型错误表述；已核验为缺项,年报p25逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p25; original=2016广州中考.pdf#真题p4; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:option_distribution_summary,common_errors_summary,teaching_suggestion_summary"
YRO-C003-2016-17,2016,QPHY-C003-2016-17,17,SRC-C003-007,2016广州中考年报.pdf,年报p26;文档核验:2016Q17逐题分析,考查的科学内容：“物质”、“运动和相互作用”、“能量”主题,0.6613,0.6067,年报p26未检索到明确选项分布；已核验为缺项或非选择题,学生的典型错误如下： （1）如 所示，19%的错误卷子是电源正负画反。 （2）如 所示，28%的错误卷子是所画电路没有电源。    27 / 52 （3）如 所示，20%的错误卷子是用电器画成串联。 （4）如 所示，14%的错误卷子是电路没有开关或开关放置位置错。 （5）19%…,年报p26逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p26; original=2016广州中考.pdf#真题p4; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:option_distribution_summary,teaching_suggestion_summary"
YRO-C003-2016-18,2016,QPHY-C003-2016-18,18,SRC-C003-007,2016广州中考年报.pdf,年报p28;文档核验:2016Q18逐题分析,考查的科学内容：“运动和相互作用”主题,0.4885,0.6737,年报p28未检索到明确选项分布；已核验为缺项或非选择题,年报p28逐题分析未检索到明确典型错误表述；已核验为缺项,年报p28逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p28; original=2016广州中考.pdf#真题p5; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:option_distribution_summary,common_errors_summary,teaching_suggestion_summary"
YRO-C003-2016-19,2016,QPHY-C003-2016-19,19,SRC-C003-007,2016广州中考年报.pdf,年报p30;文档核验:2016Q19逐题分析,考查的科学内容：“运动和相互作用”主题,0.5105,0.66,年报p30未检索到明确选项分布；已核验为缺项或非选择题,典型错误是把点标在圆心的正下方，或 OP 连线与圆的交点上。绳断时小球位置标示错的人数大概是做错第一空的人数的两倍。由 上述的数据可推测，第一空填写“等于”的学生中，相信有不少只是把平时练习最常填写的 答案填写在答卷上，不清楚题目在说什么，也不清楚解决问题的依据。而正确标示绳断…,年报p30逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p30; original=2016广州中考.pdf#真题p5; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:option_distribution_summary,teaching_suggestion_summary"
YRO-C003-2016-20,2016,QPHY-C003-2016-20,20,SRC-C003-007,2016广州中考年报.pdf,年报p17;文档核验:2016Q20逐题分析,考查的科学内容：“物质”、“能量”主题,0.6246,0.4481,A:1.2542%;B:11.7055%;C:24.4077%;D:62.4618%;未选:36%,典型错误： （1）如 所示，认为Q 的虚像在入射光线的延长线上。 （2）如 所示，以法线作为对称轴画Q 的对称点。 （3）如 所示，把墙壁当平面镜来画Q 的虚像Q′。 （4）如 所示，所画的像点到镜的距离与物到镜的距离不等，而像点不在所画的反 射光线的反向延长线上。 （1）、（…,教学建议可查看2014 年中考分析报 告）。平时的教学，历年相关考题选一题，今年的考题，再加上刚才分析时拓展比较加热棒 功率。三道题，老师可以把其中一题放在新授课后练习，讲评严格按刚才的思路讲评，让学 生掌握根据问题提取有效信息，根据物理规律解决问题的方法，然后布置另一题让学生…,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p17; original=2016广州中考.pdf#真题p3; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页
YRO-C003-2016-21,2016,QPHY-C003-2016-21,21,SRC-C003-007,2016广州中考年报.pdf,年报p35;文档核验:2016Q21逐题分析,考查的科学内容：“能量”主题,0.6687,0.7395,年报p35未检索到明确选项分布；已核验为缺项或非选择题,学生的典型错误： （1）如 所示，题目问两灯总电压，学生回答是“1V”。这是本空主要失分的原因。 导致学生这种错误的原因之一，是学生审题不清，以为题目问各电阻两端的电压（从 学生算总电能的过程可推测这部分学生是从图线或图表数据可知每个电阻的电压是1V）。估 计也有部分学生不理解…,年报p35逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p35; original=2016广州中考.pdf#真题p6; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:option_distribution_summary,teaching_suggestion_summary"
YRO-C003-2016-22,2016,QPHY-C003-2016-22,22,SRC-C003-007,2016广州中考年报.pdf,年报p39;文档核验:2016Q22逐题分析,考查的科学内容：“能量”主题,0.683,0.6081,年报p39未检索到明确选项分布；已核验为缺项或非选择题,错因，部分学生是因为不清楚如何答才是回答完整，更多的学生是因为 无法根据题目所描述的现象推测出滑动变阻接线到底错在哪，所以只能背一些“套话”，希 望能碰巧得到答案。 教学如何引导学生回答到题目需要的答案？学生首先要明白题目所描述的现象说明什    41 / 52 么。就本题来说…,年报p39逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p39; original=2016广州中考.pdf#真题p6; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:option_distribution_summary,teaching_suggestion_summary"
YRO-C003-2016-23,2016,QPHY-C003-2016-23,23,SRC-C003-007,2016广州中考年报.pdf,年报p43-p45;文档核验:2016Q23逐题分析,考查的科学内容：“运动和相互作用”主题；地磁场、电流磁场、通电螺线管、导体切割磁感线产生感应电流条件。,0.4634,0.4124,综合题无统一选项分布；第(1)小题失分集中于多选或误选B、C；第(2)小题分问难度见年报p44-p45。,第(1)小题主要失分为多选或不能判断切割磁感线；第(2)小题学生易被磁场方向转换绕晕，未能把“向地理南方游”转化为“向磁场北极游”，第②问常只写“龟向南游”。,建议按“明确问题—提取信息—转换物理量/方向—回到题干检验”的流程训练；用实物或示意图帮助学生理解切割磁感线和地磁场方向转换。,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p43-p45; original=2016广州中考.pdf#真题p7; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自年报p44;区分度来自年报p44
YRO-C003-2016-24,2016,QPHY-C003-2016-24,24,SRC-C003-007,2016广州中考年报.pdf,年报p45;文档核验:2016Q24逐题分析,考查的科学内容：“运动和相互作用”、“能量”主题,0.5217,0.6693,A:0.9511%;B:0.647%;C:0.1632%;D:0.6848%;未选:0.9709%,典型错误 （1）用弹簧测力计测量绳端拉力，而没有说明用缓慢（或匀速）拉动细绳时测量拉力； （2）没有改变钩码个数（或改变物重）重复实验； （3）错用天平测量钩码重力； （4）审题不清，不是改变钩码个数（物重），而是换用另外一组滑轮组进行实验； （5）错认为要控制每次实验中拉力F…,年报p45逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p45; original=2016广州中考.pdf#真题p8; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:teaching_suggestion_summary
YRO-C003-2017-01,2017,QPHY-C003-2017-01,1,SRC-C003-010,2017广州中考年报.pdf,年报p2;文档核验:2017Q01逐题分析,考查的科学内容：“物质”主题,0.8988,0.3031,A:2.2312%;B:89.8791%;C:6.0663%;D:1.7672%;未选:0.053%,年报p2逐题分析未检索到明确典型错误表述；已核验为缺项,年报p2逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2017广州中考年报.pdf#p2; original=2017广州中考.pdf#真题p1; answer=2017广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:common_errors_summary,teaching_suggestion_summary"
YRO-C003-2017-02,2017,QPHY-C003-2017-02,2,SRC-C003-010,2017广州中考年报.pdf,年报p3;文档核验:2017Q02逐题分析,考查的科学内容：“运动和相互作用”主题,0.7338,0.403,A:73.3783%;B:2.8758%;C:22.0101%;D:1.6374%;未选:0.0822%,年报p3逐题分析未检索到明确典型错误表述；已核验为缺项,教学建议可参考2016 年中考分 析报告第2 题的分析。 另外学生独立完成这类题目后，应通过让学生口述自己的解题过程。通过这种形式， 一方面了解学生错误的原因，另一方面让学生理清自己解决问题的思路。,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2017广州中考年报.pdf#p3; original=2017广州中考.pdf#真题p1; answer=2017广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:common_errors_summary
YRO-C003-2017-03,2017,QPHY-C003-2017-03,3,SRC-C003-010,2017广州中考年报.pdf,年报p3;文档核验:2017Q03逐题分析,考查的科学内容：“运动和相互作用”主题,0.7973,0.5214,A:3.966%;B:2.9266%;C:13.2952%;D:79.7301%;未选:0.0768%,年报p3逐题分析未检索到明确典型错误表述；已核验为缺项,平时教学中我们常说“金属箔闭合， 验电器不带电，金属箔张开，说明物体带了电”这类的表述导致学生只知验电器带电，金属 箔就张开。为什么带电的物体接触金属球，金属箔就张开，学生并没有用“同种电荷相互排 斥”这规律去分析现象。 如何描述一个现象，老师的用词会影响到学生对一个概念的理解…,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2017广州中考年报.pdf#p3; original=2017广州中考.pdf#真题p1; answer=2017广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:common_errors_summary
YRO-C003-2017-04,2017,QPHY-C003-2017-04,4,SRC-C003-010,2017广州中考年报.pdf,年报p53;文档核验:2017Q04逐题分析,年报逐题分析已定位；未检索到明确“考查的科学内容”短句,0,1,A:2017%;B:0%;C:106%;D:0%;未选:0%,年报p53逐题分析未检索到明确典型错误表述；已核验为缺项,教学建议 笔者在观课时发现不少初中课堂教师提出的问题只是为了完成预设的教学内容；教师 采用的学生回答是为了让预设的教学设计顺利完成。教师往往忽略了那些不是预设中的学 生答案。另一方面，学生回答往往只是最终的答案或跳步的思维过程。课堂鲜见教师了为 了解学生困惑而开展的有效对话；鲜…,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2017广州中考年报.pdf#p53; original=2017广州中考.pdf#真题p1; answer=2017广州中考答案.pdf#参考答案文件对应题号; 难度来自统计表p24;区分度来自统计表p24; 缺项确认:common_errors_summary
YRO-C003-2017-05,2017,QPHY-C003-2017-05,5,SRC-C003-010,2017广州中考年报.pdf,年报p5;文档核验:2017Q05逐题分析,考查的科学内容：“能量”主题,0.5933,0.7108,A:59.3282%;B:13.5494%;C:5.4444%;D:21.6024%;未选:0.0703%,错选B 的学生可以 说并没有经历上述的思维过程，凭感觉把做过的一些类似的题目答案当成是本题的答案。 错选D 学生认为物体上升过程就是动能转化为重力势能的过程，物体下降过程就是重 力势能转化为动能的过程。没有理解“转化过程”是一种形式的能量减少，另一种形式的 能量在增加的过程。从…,年报p5逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2017广州中考年报.pdf#p5; original=2017广州中考.pdf#真题p1; answer=2017广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:teaching_suggestion_summary
YRO-C003-2017-06,2017,QPHY-C003-2017-06,6,SRC-C003-010,2017广州中考年报.pdf,年报p6;文档核验:2017Q06逐题分析,考查的科学内容：“运动和相互作用”、“能量”主题,0.6485,0.6813,A:10.7871%;B:19.6124%;C:64.845%;D:4.5759%;未选:0.1741%,错选B 可推测这部分学生没有根据内能的定义，及宏观物理量与微观物 理量的应对关系分析此选项的对错，仅凭生活经验认为温度高，内能就大。如学生在判断 B 选项是否正确时，应先问自己内能的定义是什么？教材给出内能的定义“构成物体的所 有分子，其热运动的动能与分子势能的总和，叫物体的内…,教学建议”所 给出的建议。,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2017广州中考年报.pdf#p6; original=2017广州中考.pdf#真题p2; answer=2017广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页
YRO-C003-2017-07,2017,QPHY-C003-2017-07,7,SRC-C003-010,2017广州中考年报.pdf,年报p7;文档核验:2017Q07逐题分析,考查的科学内容：“运动和相互作用”主题,0.6895,0.5363,A:2.5903%;B:6.5216%;C:21.8144%;D:68.9505%;未选:0.1146%,年报p7逐题分析未检索到明确典型错误表述；已核验为缺项,年报p7逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2017广州中考年报.pdf#p7; original=2017广州中考.pdf#真题p2; answer=2017广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:common_errors_summary,teaching_suggestion_summary"
