id,parent_id,wave,category,slice,status,depends_on,acceptance,verification,evidence_anchor,owner_role
P001G,P001,W1,现场事实,权限域与目录访问验证,待办,P001D,目标账号或域权限下登录 文件目录访问 备份目录访问和审计记录齐全,domain permission smoke + isolated machine evidence template,docs/templates/p001-isolated-machine-evidence-template.md,管理员负责人
P001H,P001,W1,现场事实,操作者签收与回填,待办,P001E;P001F;P001G,现场执行人 时间 机器 版本 风险 回滚确认和最终裁决完成签收并回填 evidence,docs/templates/p001-isolated-machine-evidence-template.md + operator onepager,docs/templates/p001-isolated-machine-operator-onepager.md,试点支持负责人
P003A,P003,W2,现场准入,教师参与边界确认,待办,P002,参与教师 可执行动作 不可执行动作和观察目标明确且可审计,docs/templates/p003-onsite-pilot-admission-checklist.md section 1,pilot admission card,产品负责人
P003B,P003,W2,现场准入,数据授权记录,待办,P003A,真实或脱敏材料授权范围 有效期 责任边界和禁止项明确,docs/templates/p003-onsite-pilot-admission-checklist.md section 1,pilot admission card,数据责任方代表
P003C,P003,W2,现场准入,支持人与升级路径,待办,P003B,现场支持 技术支持 应急联系人和升级路径明确,docs/templates/p003-onsite-pilot-admission-checklist.md section 1,pilot admission card,试点支持负责人
P003D,P003,W2,现场准入,回滚方案确认,待办,P003C,失败回退 恢复入口 责任人和回滚窗口明确,docs/templates/p003-onsite-pilot-admission-checklist.md section 1,pilot admission card,发布负责人
P003E,P003,W2,现场准入,反馈模板与签字留痕,待办,P003D,反馈模板统一字段 收集频率 升级路径和最终责任人签字齐全,docs/templates/p003-onsite-pilot-admission-checklist.md section 1,pilot admission card,产品负责人
P005A,P005,W3,反馈分流,反馈归一化整理,待办,P004,耗时 卡点 错误 文案困惑 回滚事件归一为可排序记录,docs/templates/p005-pilot-feedback-backlog-checklist.md section 0 + triage template,docs/templates/p005-pilot-feedback-triage-template.json,产品负责人
P005B,P005,W3,反馈分流,四类分流裁决,待办,P005A,反馈按保留 修改 后置 不做四类完成分类并说明教师效率 频率 风险 成本理由,docs/templates/p005-pilot-feedback-backlog-checklist.md section 1,docs/templates/p005-pilot-feedback-triage-record.md,产品负责人
P005C,P005,W3,反馈分流,范围文档回写,待办,P005B,需保留或修改的反馈同步回写 docs/28 或等价范围裁决文档,docs/templates/p005-pilot-feedback-backlog-checklist.md section 2,docs/28_FunctionScopeReview.md,产品负责人
P005D,P005,W3,反馈分流,backlog 与证据回填,待办,P005C,backlog 和 evidence 同步更新且不把未执行反馈写成已闭合,docs/templates/p005-pilot-feedback-backlog-checklist.md section 2,tasks/backlog.csv + docs/evidence,产品负责人
P006A,P006,W4,发布裁决,发布卡刷新,待办,P005D,Go No-Go 卡完成 release candidate deployment mode hard gates residual risks rollback window 和 sign-off 角色,docs/templates/p006-release-decision-checklist.md preface + section 2,docs/109_ReleaseGoNoGoCard.md,发布负责人
P006B,P006,W4,发布裁决,硬门禁与例外复核,待办,P006A,build test contract hotspot backup restore teacher efficiency privacy authorization 的通过或例外说明齐全,docs/templates/p006-release-decision-checklist.md section 1,docs/109_ReleaseGoNoGoCard.md,发布负责人
P006C,P006,W4,发布裁决,release decision record,待办,P006B,形成 go no-go 风险 回滚和 disable switch 的正式 decision record,docs/templates/p006-release-decision-checklist.md section 2,docs/templates/p006-release-decision-record.md,发布负责人
P006D,P006,W4,发布裁决,最低签字角色完成,待办,P006C,发布负责人 管理员负责人 数据责任方代表 试点支持负责人完成签署,sign-off record check,docs/templates/p006-release-decision-record.md,发布负责人
P006E,P006,W4,发布裁决,tag candidate 与回退策略,待办,P006D,仅在 Go 时形成 tag candidate 创建条件和回退策略 No-Go 时保持不创建,docs/templates/p006-release-decision-checklist.md section 2,docs/templates/p006-release-decision-record-template.json,发布负责人
