task_id,applies_when,official_reference_urls,local_reference_paths,community_reference_paths,why_required,minimum_expectation
NS1307,visual surrogate LLM security eval 或 golden import 覆盖面变化时,https://github.com/microsoft/playwright;https://owasp.org/www-project-artificial-intelligence-security-verification-standard-aisvs-docs/;https://www.nist.gov/itl/ai-risk-management-framework;https://github.com/PaddlePaddle/PaddleOCR,official-docs/playwright;document-ocr-ai/PaddleOCR,,视觉代理和 LLM security gate 是 release 级阻断 不能弱化,调整 visual surrogate prompt injection output validation 或 golden coverage 前 必须复核 Playwright OWASP NIST 与 OCR 官方来源
NS1308,installer upgrade backup restore release evidence pack 或 rollback 结构变化时,https://learn.microsoft.com/aspnet/core/host-and-deploy/windows-service?view=aspnetcore-10.0;https://github.com/dotnet/EntityFramework.Docs;https://github.com/MicrosoftDocs/PowerShell-Docs;https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/robocopy,official-docs/AspNetCore.Docs;official-docs/EntityFramework.Docs;official-docs/PowerShell-Docs,,发布证据包是现场前的最终聚合点 不能凭经验改演练或回退链,修改 installer upgrade backup restore 或 release pack 结构前 必须复核官方宿主 EF 和 Windows 运维来源
O008,technology refresh source tier candidate catalog 或 no-install 边界变化时,https://github.com/MicrosoftDocs/PowerShell-Docs;https://github.com/docling-project/docling;https://github.com/PaddlePaddle/PaddleOCR;https://github.com/ocrmypdf/OCRmyPDF;https://github.com/openai/openai-dotnet;https://github.com/openai/openai-cookbook,official-docs/PowerShell-Docs;official-docs/openai-dotnet;document-ocr-ai/docling;document-ocr-ai/PaddleOCR;document-ocr-ai/OCRmyPDF,document-workflows/paperless-ngx,O008 本身就是参考准入链 任何放宽都必须有正式参考依据,修改 trusted source tier candidate catalog forbidden action 或 eval 规则前 必须先更新参考依据
P001,isolated machine 预演 安装 备份恢复 权限审计 四入口 smoke 或 operator signoff 结构变化时,https://learn.microsoft.com/aspnet/core/host-and-deploy/windows-service?view=aspnetcore-10.0;https://github.com/MicrosoftDocs/PowerShell-Docs;https://github.com/microsoft/playwright;https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/robocopy,official-docs/AspNetCore.Docs;official-docs/PowerShell-Docs;official-docs/playwright,,P001 连接 repo-side 证据与现场事实 任何结构变化都应先看官方运维与 UI 验证参考,修改 isolated-machine preflight 四入口 smoke 打印网络域权限或签收模板前 必须复核官方宿主 PowerShell Playwright 参考
P003,现场数据授权 支持人 回滚方案 或 admission card 结构变化时,https://studentprivacy.ed.gov/index.php/frequently-asked-questions;https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa;https://www.npc.gov.cn/npc/c2/c30834/202108/t20210824_313198.html,education-assessment/moodle;education-assessment/OpenOLAT,,现场准入涉及真实数据和责任闭环 必须先对照合规边界与成熟教育平台治理经验,修改现场准入卡 数据授权边界 或回滚责任链前 必须复核合规来源和教育治理参考
P005,反馈模板 字段 分类规则 教师效率权重 风险成本排序 或 backlog 回写口径变化时,https://github.com/reactjs/react.dev;https://github.com/remix-run/react-router;https://github.com/microsoft/playwright;https://github.com/MicrosoftDocs/PowerShell-Docs,official-docs/react.dev;official-docs/react-router;official-docs/playwright;official-docs/PowerShell-Docs,education-assessment/moodle;education-assessment/OpenOLAT,试点反馈会直接改教师工作流优先级 范围裁决和发布节奏 不能只凭单次现场印象改范围和文案,修改反馈模板 分流字段 优先级计算 或 backlog 回写口径前 必须复核前端流程 证据采集和成熟教育平台反馈治理参考 这些社区参考只用于治理与反馈流程 不用于 UI 直接复刻
P006,release decision record tag candidate rollback window deployment mode 或 go no-go 判断口径变化时,https://learn.microsoft.com/aspnet/core/host-and-deploy/windows-service?view=aspnetcore-10.0;https://github.com/dotnet/EntityFramework.Docs;https://github.com/MicrosoftDocs/PowerShell-Docs;https://github.com/microsoft/playwright,official-docs/AspNetCore.Docs;official-docs/EntityFramework.Docs;official-docs/PowerShell-Docs;official-docs/playwright,architecture-samples/CleanArchitecture;document-workflows/paperless-ngx,发布裁决会直接影响部署模式 回滚窗口和对外完成口径 不能只凭聊天记忆或单份证据做决定,修改发布卡 release decision record tag candidate 或 rollback 策略前 必须复核宿主 迁移 运维和可视化验证参考 社区项目只作流程与运维辅助参考
R001,准备改变搜索默认路线或引入 pgvector/外部搜索时,https://www.postgresql.org/docs/current/textsearch.html;https://www.postgresql.org/docs/current/pgtrgm.html;https://github.com/pgvector/pgvector,official-docs/npgsql-doc;official-docs/postgresql-docs;data-search/pgvector,,搜索路线切换会影响默认产品边界和成本 隐私与删改策略 默认 PostgreSQL FTS + pg_trgm 路线也应有本地官方锚点,在 PostgreSQL FTS 之外引入向量或外部搜索前 必须先复核 PostgreSQL 原生文档与 pgvector 官方来源
R002,准备引入 Hangfire RabbitMQ 或改变默认 queue 事实源时,https://learn.microsoft.com/aspnet/core/fundamentals/host/hosted-services?view=aspnetcore-10.0;https://github.com/dotnet/AspNetCore.Docs,official-docs/AspNetCore.Docs,architecture-samples/CleanArchitecture,队列扩展一旦过早引入 会直接改变部署和恢复模型,改变 PostgreSQL job store plus BackgroundService 默认路线前 必须先复核 hosted service 官方来源和现有架构样例
R007,准备扩大互操作承诺或实现 import/export spike 时,https://www.1edtech.org/standards/qti;https://www.1edtech.org/standards/case;https://www.1edtech.org/standards/oneroster;https://www.1edtech.org/standards/caliper,education-assessment/OpenOLAT;education-assessment/moodle,education-assessment/TAO,标准互操作最容易被过度承诺 必须先看标准原文和成熟平台治理做法 TAO 可补 assessment/QTI 侧参考,扩大 profile map 之外的互操作承诺前 必须先复核 1EdTech 标准与教育平台治理参考 不直接承诺完整实现
