stable_id,parent_stable_id,level,title,node_type,subject,stage,grade_or_scope,source_material_ids,evidence_locations,curriculum_refs,local_exam_refs,draft_mapping_code,mapping_type,mapping_confidence,review_status,review_owner,production_eligible,notes
KPHY-CAND-015,KPHY-CAND-003,2,机械能与简单机械,topic,physics,junior_middle_school,8下,物理教材八下（2024人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,八下目录p5 第十一章-第十二章;课标p25-p26 section 3.2,CSPHY-CAND-010,EPHY-CAND-006,CS-3.2→KPHY-CAND-015,merge,0.89,pending_review,,false,candidate only
KPHY-CAND-016,KPHY-CAND-003,2,内能与热机,topic,physics,junior_middle_school,9全,物理教材九全（2025秋.人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,九全目录p4 第十三章-第十四章;课标p26-p27 section 3.3,CSPHY-CAND-017,EPHY-CAND-003;EPHY-CAND-005,CS-3.3→KPHY-CAND-016,equivalent,0.91,pending_review,,false,candidate only
KPHY-CAND-017,KPHY-CAND-003,2,电路基础与欧姆定律,topic,physics,junior_middle_school,9全,物理教材九全（2025秋.人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,九全目录p4-p5 第十五章-第十七章;课标p27 section 3.4.2-3.4.4,CSPHY-CAND-018;CSPHY-CAND-022,EPHY-CAND-011;EPHY-CAND-012,CS-3.4.2→KPHY-CAND-017,merge,0.90,pending_review,,false,candidate only
KPHY-CAND-018,KPHY-CAND-003,2,电功率与安全用电,topic,physics,junior_middle_school,9全,物理教材九全（2025秋.人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,九全目录p5-p6 第十八章-第十九章;课标p27 section 3.4.5-3.4.7,CSPHY-CAND-019,EPHY-CAND-012,CS-3.4.7→KPHY-CAND-018,merge,0.88,pending_review,,false,candidate only
KPHY-CAND-019,KPHY-CAND-003,2,能源与可持续发展,topic,physics,junior_middle_school,9全,物理教材九全（2025秋.人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,九全目录p7 第二十二章;课标p28 section 3.6,CSPHY-CAND-020,EPHY-CAND-005,CS-3.6→KPHY-CAND-019,equivalent,0.92,pending_review,,false,candidate only
KPHY-CAND-004,,1,实验探究,module,physics,junior_middle_school,8-9,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,课标p31-p34 section 4,CSPHY-CAND-021;CSPHY-CAND-022,,CS-THEME-4→KPHY-CAND-004,equivalent,0.95,pending_review,,false,candidate only
KPHY-CAND-020,KPHY-CAND-004,2,测量类实验,experiment,physics,junior_middle_school,8-9,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,课标p31-p32 section 4.1,CSPHY-CAND-021,EPHY-CAND-014,CS-4.1→KPHY-CAND-020,equivalent,0.94,pending_review,,false,candidate only
KPHY-CAND-021,KPHY-CAND-004,2,探究类实验,experiment,physics,junior_middle_school,8-9,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,课标p32-p34 section 4.2,CSPHY-CAND-022,EPHY-CAND-014,CS-4.2→KPHY-CAND-021,equivalent,0.94,pending_review,,false,candidate only
KPHY-CAND-005,,1,跨学科实践,module,physics,junior_middle_school,8-9,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,课标p36-p38 section 5,CSPHY-CAND-023;CSPHY-CAND-024,EPHY-CAND-016,CS-THEME-5→KPHY-CAND-005,equivalent,0.90,pending_review,,false,candidate only
KPHY-CAND-023,KPHY-CAND-021,3,控制变量法,method,physics,junior_middle_school,8-9,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf;2021广州中考年报.pdf,课标p29-p34 多项探究实验;2021年报p1-p2,CSPHY-CAND-022,EPHY-CAND-014,METHOD-CV→KPHY-CAND-023,equivalent,0.82,pending_review,,false,candidate only
KPHY-CAND-024,KPHY-CAND-010,3,受力分析与力的示意图,method,physics,junior_middle_school,8下,物理教材八下（2024人教）(1).pdf;2016广州中考年报.pdf,八下p9 力的三要素和力的示意图;2016年报p1主干知识,CSPHY-CAND-008,EPHY-CAND-006,FORCE-DIAGRAM→KPHY-CAND-024,equivalent,0.86,pending_review,,false,candidate only
KPHY-CAND-025,KPHY-CAND-021,3,表格图像数据处理,method,physics,junior_middle_school,8-9,2021广州中考年报.pdf;2023广州中考年报.pdf;2024广州中考年报.pdf,2021年报p1-p2;2023年报p2;2024年报p1-p2,,EPHY-CAND-014,DATA-VIS→KPHY-CAND-025,equivalent,0.82,pending_review,,false,candidate only
