candidate_id,asset_type,stable_id,title,parent_stable_id,subject,stage,source_files,source_type,region,year,page_or_location,question_number,evidence_summary,suggested_mappings,confidence,extracted_by,review_status,production_eligible,notes
C002-CAND-014,curriculum_standard_item,CSPHY-CAND-007,会测量长度和时间并根据生活经验估测,KPHY-CAND-009,physics,junior_middle_school,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,curriculum_standard,China,2025,p18,section 2.2.1,课标要求选用工具测量长度时间并能估测,KPHY-CAND-009;EPHY-CAND-001,0.95,chatgpt_web,pending_review,false,candidate only
C002-CAND-015,curriculum_standard_item,CSPHY-CAND-013,了解声音的特性及声学应用,KPHY-CAND-012,physics,junior_middle_school,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,curriculum_standard,China,2025,p20,section 2.3.2,课标要求了解声音特性现代声学应用和噪声控制,KPHY-CAND-012;EPHY-CAND-002,0.95,chatgpt_web,pending_review,false,candidate only
C002-CAND-016,curriculum_standard_item,CSPHY-CAND-022,探究电流与电压电阻的关系,KPHY-CAND-021,physics,junior_middle_school,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,curriculum_standard,China,2025,p33-p34,section 4.2.12,课标列为探究类学生必做实验,KPHY-CAND-017;KPHY-CAND-021,0.95,chatgpt_web,pending_review,false,candidate only
C002-CAND-017,ability_dimension,APHY-CAND-001,信息提取及处理,,physics,junior_middle_school,2021广州中考年报.pdf;2023广州中考年报.pdf;2024广州中考年报.pdf,exam_year_report,Guangzhou,2021-2024,2021年报p1-p2;2023年报p2;2024年报p1-p2,section 试卷分析,年报多次强调文字图表图像图片等信息提取加工能力,EPHY-CAND-014;EPHY-CAND-015,0.88,chatgpt_web,pending_review,false,candidate only
C002-CAND-018,ability_dimension,APHY-CAND-002,分析推理,,physics,junior_middle_school,2021广州中考年报.pdf;2025广州中考年报.pdf,exam_year_report,Guangzhou,2021-2025,2021年报p1-p2;2025年报p1-p2,section 试卷分析,年报强调分析推理科学推理逻辑推理和模型建构,EPHY-CAND-006;EPHY-CAND-016,0.88,chatgpt_web,pending_review,false,candidate only
C002-CAND-019,ability_dimension,APHY-CAND-003,实验探究,,physics,junior_middle_school,2021广州中考年报.pdf;2023广州中考年报.pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,exam_year_report;curriculum_standard,Guangzhou;China,2021-2025,2021年报p1-p2;2023年报p1-p2;课标p31-p34,section 实验探究,年报和课标均强调实验探究能力与学生必做实验,EPHY-CAND-014;KPHY-CAND-021,0.90,chatgpt_web,pending_review,false,candidate only
C002-CAND-020,question_type,QTPHY-CAND-001,情境化选择题,,physics,junior_middle_school,2021广州中考年报.pdf;2024广州中考.pdf;2025广州中考.pdf,exam_year_report;local_exam_paper,Guangzhou,2021-2025,2021年报p1;2024真题p1-p2;2025真题p1-p2,Q1-Q10,选择题大量采用生产生活真实情境,EPHY-CAND-015,0.82,chatgpt_web,pending_review,false,candidate only
C002-CAND-021,question_type,QTPHY-CAND-004,实验探究题,,physics,junior_middle_school,2016广州中考年报.pdf;2021广州中考年报.pdf;2024广州中考年报.pdf,exam_year_report,Guangzhou,2016-2024,2016年报p1-p2;2021年报p1-p2;2024年报p1-p2,section 试卷结构与试卷分析,年报持续强调通过纸笔测试考查实验探究能力,EPHY-CAND-014,0.85,chatgpt_web,pending_review,false,candidate only
C002-CAND-022,trend_summary,TRPHY-CAND-001,真实情境解决问题导向持续强化,,physics,junior_middle_school,2021广州中考年报.pdf;2023广州中考年报.pdf;2025广州中考年报.pdf,exam_year_report,Guangzhou,2021-2025,2021年报p1;2023年报p1-p2;2025年报p1,section 试卷分析,年报反复提出从解题转向解决问题和真实情境,EPHY-CAND-015,0.86,chatgpt_web,pending_review,false,candidate only
C002-CAND-023,trend_summary,TRPHY-CAND-002,回归教材和课标素材趋势明确,,physics,junior_middle_school,2021广州中考年报.pdf;2023广州中考年报.pdf;2024广州中考年报.pdf;2025广州中考年报.pdf,exam_year_report,Guangzhou,2021-2025,2021年报p2;2023年报p2;2024年报p1;2025年报p1,section 试卷分析,年报明确提出试题素材源于教材和课标并引导教学回归教材,EPHY-CAND-015;TBPHY-CAND-001,0.88,chatgpt_web,pending_review,false,candidate only
C002-CAND-024,trend_summary,TRPHY-CAND-003,跨学科实践和工程模型建构上升,,physics,junior_middle_school,2023广州中考年报.pdf;2024广州中考年报.pdf;2025广州中考年报.pdf,exam_year_report,Guangzhou,2023-2025,2023年报p1-p2;2024年报p2;2025年报p1-p2,section 试卷分析,近年年报提到STEM跨学科实践工程实践和模型建构,EPHY-CAND-016;KPHY-CAND-005,0.83,chatgpt_web,pending_review,false,candidate only
