questionId,year,questionNumber,classification,changedRoles,blockers
QPHY-C003-2018-15,2018,15,matched,,
QPHY-C003-2018-16,2018,16,matched,,
QPHY-C003-2018-17,2018,17,matched,,
QPHY-C003-2018-18,2018,18,matched,,
QPHY-C003-2018-19,2018,19,matched,,
QPHY-C003-2018-20,2018,20,matched,,
QPHY-C003-2018-21,2018,21,matched,,
QPHY-C003-2018-22,2018,22,matched,,
QPHY-C003-2018-23,2018,23,matched,,
QPHY-C003-2018-24,2018,24,matched,,
QPHY-C003-2019-01,2019,1,matched,,
QPHY-C003-2019-02,2019,2,matched,,
QPHY-C003-2019-03,2019,3,matched,,
QPHY-C003-2019-04,2019,4,matched,,
QPHY-C003-2019-05,2019,5,matched,,
QPHY-C003-2019-06,2019,6,matched,,
QPHY-C003-2019-07,2019,7,matched,,
QPHY-C003-2019-08,2019,8,matched,,
QPHY-C003-2019-09,2019,9,matched,,
QPHY-C003-2019-10,2019,10,matched,,
QPHY-C003-2019-11,2019,11,matched,,
QPHY-C003-2019-12,2019,12,matched,,
QPHY-C003-2019-13,2019,13,matched,,
QPHY-C003-2019-14,2019,14,matched,,
QPHY-C003-2019-15,2019,15,matched,,
QPHY-C003-2019-16,2019,16,matched,,
QPHY-C003-2019-17,2019,17,matched,,
QPHY-C003-2019-18,2019,18,matched,,
QPHY-C003-2019-19,2019,19,matched,,
QPHY-C003-2019-20,2019,20,matched,,
QPHY-C003-2019-21,2019,21,matched,,
QPHY-C003-2019-22,2019,22,matched,,
QPHY-C003-2019-23,2019,23,matched,,
QPHY-C003-2019-24,2019,24,matched,,
QPHY-C003-2020-01,2020,1,matched,,
QPHY-C003-2020-02,2020,2,matched,,
QPHY-C003-2020-03,2020,3,matched,,
QPHY-C003-2020-04,2020,4,matched,,
QPHY-C003-2020-05,2020,5,matched,,
QPHY-C003-2020-06,2020,6,matched,,
QPHY-C003-2020-07,2020,7,matched,,
QPHY-C003-2020-08,2020,8,matched,,
QPHY-C003-2020-09,2020,9,matched,,
QPHY-C003-2020-10,2020,10,matched,,
QPHY-C003-2020-11,2020,11,matched,,
QPHY-C003-2020-12,2020,12,matched,,
QPHY-C003-2020-13,2020,13,matched,,
QPHY-C003-2020-14,2020,14,matched,,
QPHY-C003-2020-15,2020,15,matched,,
QPHY-C003-2020-16,2020,16,matched,,
QPHY-C003-2020-17,2020,17,matched,,
QPHY-C003-2020-18,2020,18,matched,,
QPHY-C003-2020-19,2020,19,matched,,
QPHY-C003-2020-20,2020,20,matched,,
QPHY-C003-2020-21,2020,21,matched,,
QPHY-C003-2020-22,2020,22,matched,,
QPHY-C003-2020-23,2020,23,matched,,
QPHY-C003-2020-24,2020,24,matched,,
QPHY-C003-2021-01,2021,1,matched,,
QPHY-C003-2021-02,2021,2,matched,,
QPHY-C003-2021-03,2021,3,matched,,
QPHY-C003-2021-04,2021,4,matched,,
QPHY-C003-2021-05,2021,5,matched,,
QPHY-C003-2021-06,2021,6,matched,,
QPHY-C003-2021-07,2021,7,matched,,
QPHY-C003-2021-08,2021,8,matched,,
QPHY-C003-2021-09,2021,9,matched,,
QPHY-C003-2021-10,2021,10,matched,,
QPHY-C003-2021-11,2021,11,matched,,
QPHY-C003-2021-12,2021,12,matched,,
QPHY-C003-2021-13,2021,13,matched,,
QPHY-C003-2021-14,2021,14,matched,,
QPHY-C003-2021-15,2021,15,matched,,
QPHY-C003-2021-16,2021,16,matched,,
QPHY-C003-2021-17,2021,17,matched,,
QPHY-C003-2021-18,2021,18,matched,,
QPHY-C003-2022-01,2022,1,matched,,
QPHY-C003-2022-02,2022,2,matched,,
QPHY-C003-2022-03,2022,3,matched,,
QPHY-C003-2022-04,2022,4,matched,,
QPHY-C003-2022-05,2022,5,matched,,
QPHY-C003-2022-06,2022,6,matched,,
QPHY-C003-2022-07,2022,7,matched,,
QPHY-C003-2022-08,2022,8,matched,,
QPHY-C003-2022-09,2022,9,matched,,
QPHY-C003-2022-10,2022,10,matched,,
QPHY-C003-2022-11,2022,11,matched,,
QPHY-C003-2022-12,2022,12,matched,,
QPHY-C003-2022-13,2022,13,matched,,
QPHY-C003-2022-14,2022,14,matched,,
QPHY-C003-2022-15,2022,15,matched,,
QPHY-C003-2022-16,2022,16,matched,,
QPHY-C003-2022-17,2022,17,matched,,
QPHY-C003-2022-18,2022,18,matched,,
QPHY-C003-2023-01,2023,1,matched,,
QPHY-C003-2023-02,2023,2,matched,,
QPHY-C003-2023-03,2023,3,matched,,
QPHY-C003-2023-04,2023,4,matched,,
QPHY-C003-2023-05,2023,5,matched,,
QPHY-C003-2023-06,2023,6,matched,,
QPHY-C003-2023-07,2023,7,matched,,
QPHY-C003-2023-08,2023,8,matched,,
QPHY-C003-2023-09,2023,9,matched,,
QPHY-C003-2023-10,2023,10,matched,,
QPHY-C003-2023-11,2023,11,matched,,
QPHY-C003-2023-12,2023,12,matched,,
QPHY-C003-2023-13,2023,13,matched,,
QPHY-C003-2023-14,2023,14,matched,,
QPHY-C003-2023-15,2023,15,matched,,
QPHY-C003-2023-16,2023,16,matched,,
QPHY-C003-2023-17,2023,17,matched,,
QPHY-C003-2023-18,2023,18,matched,,
QPHY-C003-2024-01,2024,1,matched,,
QPHY-C003-2024-02,2024,2,matched,,
QPHY-C003-2024-03,2024,3,matched,,
QPHY-C003-2024-04,2024,4,matched,,
QPHY-C003-2024-05,2024,5,matched,,
QPHY-C003-2024-06,2024,6,matched,,
QPHY-C003-2024-07,2024,7,matched,,
QPHY-C003-2024-08,2024,8,matched,,
QPHY-C003-2024-09,2024,9,matched,,
QPHY-C003-2024-10,2024,10,matched,,
QPHY-C003-2024-11,2024,11,matched,,
QPHY-C003-2024-12,2024,12,matched,,
QPHY-C003-2024-13,2024,13,matched,,
QPHY-C003-2024-14,2024,14,matched,,
QPHY-C003-2024-15,2024,15,matched,,
QPHY-C003-2024-16,2024,16,matched,,
QPHY-C003-2024-17,2024,17,matched,,
QPHY-C003-2024-18,2024,18,matched,,
QPHY-C003-2025-01,2025,1,changed_pending_review,answer_solution,
QPHY-C003-2025-02,2025,2,changed_pending_review,answer_solution,
QPHY-C003-2025-03,2025,3,changed_pending_review,answer_solution,
QPHY-C003-2025-04,2025,4,changed_pending_review,answer_solution,
QPHY-C003-2025-05,2025,5,changed_pending_review,answer_solution,
QPHY-C003-2025-06,2025,6,changed_pending_review,answer_solution,
QPHY-C003-2025-07,2025,7,changed_pending_review,answer_solution,
QPHY-C003-2025-08,2025,8,changed_pending_review,answer_solution,
QPHY-C003-2025-09,2025,9,changed_pending_review,answer_solution,
QPHY-C003-2025-10,2025,10,changed_pending_review,answer_solution,
QPHY-C003-2025-11,2025,11,changed_pending_review,answer_solution,
QPHY-C003-2025-12,2025,12,changed_pending_review,answer_solution,
QPHY-C003-2025-13,2025,13,changed_pending_review,answer_solution,
QPHY-C003-2025-14,2025,14,changed_pending_review,answer_solution,
QPHY-C003-2025-15,2025,15,changed_pending_review,answer_solution,
QPHY-C003-2025-16,2025,16,changed_pending_review,answer_solution,
QPHY-C003-2025-17,2025,17,changed_pending_review,answer_solution,
QPHY-C003-2025-18,2025,18,changed_pending_review,answer_solution,
